subject,rel_lemma,object,rel_p_id,query,prompt,model_output,output_probs
Jean Dujardin,mother-tongue,French,P37,The mother tongue of Jean Dujardin is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean Dujardin is""",French,"[[[""French"", ""0.780467""], [""Fran"", ""0.153683""], [""France"", ""0.012615""], [""Fr"", ""0.009825""], [""**"", ""0.009229""]], [["""", ""0.644585""], [""."", ""0.345021""], ["" ("", ""0.002475""], [""\n"", ""0.001325""], ["" �"", ""0.001169""]]]"
Maurice Biraud,mother-tongue,French,P37,The mother tongue of Maurice Biraud is,"Complete the sentence. Answer with one word. ""The mother tongue of Maurice Biraud is""",French,"[[[""French"", ""0.720437""], [""Fran"", ""0.125193""], [""**"", ""0.012396""], [""Al"", ""0.011645""], [""The"", ""0.010939""]], [["""", ""0.618381""], [""."", ""0.375067""], ["" ("", ""0.001194""], [""\n"", ""0.000990""], ["" �"", ""0.000600""]]]"
Aleksey Khomyakov,mother-tongue,Russian,P37,The mother tongue of Aleksey Khomyakov is,"Complete the sentence. Answer with one word. ""The mother tongue of Aleksey Khomyakov is""",Russian.,"[[[""Russian"", ""0.884809""], [""Russ"", ""0.020809""], [""The"", ""0.014302""], [""Uk"", ""0.012621""], [""**"", ""0.010463""]], [[""."", ""0.676906""], ["""", ""0.319748""], ["" �"", ""0.000545""], [""\n"", ""0.000452""], ["" ("", ""0.000352""]], [["""", ""0.995015""], ["" *("", ""0.001094""], ["" ("", ""0.000403""], ["" {"", ""0.000229""], ["" **("", ""0.000158""]]]"
Serbia and Montenegro,the-official-language,Serbian,P37,The official language of Serbia and Montenegro is,"Complete the sentence. Answer with one word. ""The official language of Serbia and Montenegro is""",Serbian.,"[[[""Ser"", ""0.374048""], [""The"", ""0.129268""], [""Cro"", ""0.088844""], [""Bos"", ""0.083461""], [""**"", ""0.061062""]], [[""bian"", ""0.979087""], [""bo"", ""0.017933""], [""bia"", ""0.001220""], [""b"", ""0.000839""], [""bi"", ""0.000146""]], [[""."", ""0.394387""], ["""", ""0.307149""], ["" Cyr"", ""0.128039""], ["" ("", ""0.082668""], [""\n"", ""0.014366""]], [["""", ""0.970467""], ["" *("", ""0.011476""], ["" ("", ""0.009514""], ["" �"", ""0.000831""], ["" **("", ""0.000831""]]]"
Roland Armontel,mother-tongue,French,P37,The mother tongue of Roland Armontel is,"Complete the sentence. Answer with one word. ""The mother tongue of Roland Armontel is""",French,"[[[""French"", ""0.769608""], [""Fran"", ""0.118023""], [""**"", ""0.017003""], [""Fr"", ""0.008550""], [""France"", ""0.006658""]], [["""", ""0.669878""], [""."", ""0.316428""], ["" ("", ""0.003515""], [""\n"", ""0.002132""], ["" �"", ""0.001293""]]]"
Jean-Baptiste Philibert Willaumez,mother-tongue,French,P37,The mother tongue of Jean-Baptiste Philibert Willaumez is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean-Baptiste Philibert Willaumez is""",French,"[[[""French"", ""0.691974""], [""Fran"", ""0.077637""], [""France"", ""0.039038""], [""**"", ""0.034451""], [""Al"", ""0.009870""]], [["""", ""0.618530""], [""."", ""0.375157""], ["" ("", ""0.001353""], [""\n"", ""0.001054""], ["" �"", ""0.000413""]]]"
Wil Huygen,mother-tongue,Dutch,P37,The mother tongue of Wil Huygen is,"Complete the sentence. Answer with one word. ""The mother tongue of Wil Huygen is""",Dutch,"[[[""D"", ""0.745184""], [""F"", ""0.094740""], [""French"", ""0.030757""], [""Net"", ""0.025499""], [""**"", ""0.019858""]], [[""utch"", ""0.999637""], [""uch"", ""0.000062""], [""ut"", ""0.000035""], [""uc"", ""0.000033""], [""UT"", ""0.000019""]], [["""", ""0.588429""], [""."", ""0.404421""], ["" ("", ""0.001459""], [""\n"", ""0.001002""], [""\n\n\n"", ""0.000504""]]]"
Kiruna Municipality,the-official-language,Swedish,P37,The official language of Kiruna Municipality is,"Complete the sentence. Answer with one word. ""The official language of Kiruna Municipality is""",Swedish,"[[[""Sw"", ""0.744924""], [""Finn"", ""0.114238""], [""K"", ""0.039480""], [""S"", ""0.018649""], [""**"", ""0.017519""]], [[""edish"", ""0.992102""], [""eden"", ""0.007575""], [""ed"", ""0.000045""], [""ede"", ""0.000037""], [""edan"", ""0.000033""]], [["""", ""0.925939""], [""."", ""0.067075""], ["" ("", ""0.001482""], ["" �"", ""0.001229""], [""\n"", ""0.000793""]]]"
Kokkola,the-official-language,Finnish,P37,The official language of Kokkola is,"Complete the sentence. Answer with one word. ""The official language of Kokkola is""",Finnish.,"[[[""Finn"", ""0.737712""], [""Sw"", ""0.050202""], ["" Finnish"", ""0.018468""], [""The"", ""0.018468""], [""**"", ""0.017349""]], [[""ish"", ""0.999729""], [""isch"", ""0.000058""], [""ished"", ""0.000033""], [""lish"", ""0.000033""], [""ishes"", ""0.000023""]], [[""."", ""0.526033""], ["""", ""0.464223""], ["" ("", ""0.002760""], [""\n"", ""0.001151""], [""\n\n"", ""0.000954""]], [["""", ""0.990032""], ["" *("", ""0.004307""], ["" ("", ""0.001488""], ["" {"", ""0.000426""], ["" **("", ""0.000332""]]]"
Alexander Butlerov,mother-tongue,Russian,P37,The mother tongue of Alexander Butlerov is,"Complete the sentence. Answer with one word. ""The mother tongue of Alexander Butlerov is""",Russian.,"[[[""Russian"", ""0.806769""], [""German"", ""0.037733""], [""**"", ""0.020197""], [""Uk"", ""0.017824""], [""R"", ""0.013040""]], [[""."", ""0.701664""], ["""", ""0.292497""], ["" ("", ""0.000931""], [""\n"", ""0.000772""], ["" �"", ""0.000681""]], [["""", ""0.992281""], ["" *("", ""0.001492""], ["" ("", ""0.000549""], ["" **("", ""0.000294""], ["" {"", ""0.000215""]]]"
Isabelle Autissier,native,French,P37,The native language of Isabelle Autissier is,"Complete the sentence. Answer with one word. ""The native language of Isabelle Autissier is""",French,"[[[""French"", ""0.865729""], [""Fran"", ""0.091247""], [""France"", ""0.013993""], [""**"", ""0.004543""], [""Fr"", ""0.003324""]], [["""", ""0.695303""], [""."", ""0.289845""], ["" ("", ""0.004685""], [""\n"", ""0.002508""], ["" �"", ""0.001045""]]]"
Camorino,the-official-language,Italian,P37,The official language of Camorino is,"Complete the sentence. Answer with one word. ""The official language of Camorino is""",The official language of **Camorino** is **Italian**.,"[[[""The"", ""0.135152""], [""Italian"", ""0.081974""], [""Port"", ""0.063841""], [""Sw"", ""0.043877""], [""\"""", ""0.041219""]], [["" official"", ""0.854953""], ["" **"", ""0.025817""], ["" Italian"", ""0.007874""], ["" Swiss"", ""0.003494""], ["" Spanish"", ""0.002556""]], [["" language"", ""0.994451""], ["" languages"", ""0.002973""], ["" **"", ""0.000852""], [""\n"", ""0.000066""], [""language"", ""0.000058""]], [["" of"", ""0.990788""], ["" is"", ""0.004049""], ["" **"", ""0.001090""], [""\n"", ""0.000903""], [""."", ""0.000454""]], [["" **"", ""0.458418""], ["" Cam"", ""0.404552""], ["" Cameroon"", ""0.042639""], ["" Com"", ""0.016698""], ["" Camer"", ""0.012216""]], [[""Cam"", ""0.842559""], [""C"", ""0.078370""], [""Com"", ""0.025443""], [""Camb"", ""0.003235""], [""Can"", ""0.002367""]], [[""or"", ""0.548184""], [""ero"", ""0.050989""], [""oro"", ""0.039710""], [""ar"", ""0.032921""], [""orra"", ""0.025639""]], [[""ino"", ""0.979461""], [""ini"", ""0.004828""], [""ín"", ""0.004261""], [""inos"", ""0.002428""], [""í"", ""0.001300""]], [[""**"", ""0.784422""], ["" is"", ""0.099728""], ["" ("", ""0.077668""], [""**\n"", ""0.007224""], [""**:\n"", ""0.003633""]], [["" is"", ""0.830347""], ["" ("", ""0.127338""], ["" *("", ""0.011127""], ["" (*"", ""0.004638""], ["" isn"", ""0.004093""]], [["" **"", ""0.324172""], ["" *"", ""0.209301""], [""\n"", ""0.105243""], ["" *\"""", ""0.052920""], ["" **\"""", ""0.038717""]], [[""Italian"", ""0.348264""], [""English"", ""0.064422""], [""C"", ""0.064422""], [""Port"", ""0.060519""], [""French"", ""0.053408""]], [[""**."", ""0.566734""], [""**"", ""0.208490""], [""**.\n\n"", ""0.143293""], [""**.\n"", ""0.030036""], [""*."", ""0.016077""]], [["""", ""0.525537""], ["" *("", ""0.361196""], ["" ("", ""0.040525""], [""*("", ""0.024580""], ["" (*"", ""0.005838""]]]"
Belgium,the-official-language,French,P37,The official language of Belgium is,"Complete the sentence. Answer with one word. ""The official language of Belgium is""",Dutch.,"[[[""D"", ""0.306268""], [""French"", ""0.270281""], [""Mult"", ""0.060308""], [""Ne"", ""0.053221""], [""German"", ""0.049997""]], [[""utch"", ""0.997792""], [""ual"", ""0.000245""], [""ut"", ""0.000245""], [""ansk"", ""0.000149""], [""utsch"", ""0.000131""]], [[""."", ""0.291576""], ["""", ""0.257315""], ["","", ""0.200397""], ["" ("", ""0.088926""], [""\n"", ""0.034824""]], [["""", ""0.798474""], ["" *("", ""0.138754""], ["" ("", ""0.030960""], ["" �"", ""0.003263""], ["" (*"", ""0.003065""]]]"
Thomas Horsfield,native,English,P37,The native language of Thomas Horsfield is,"Complete the sentence. Answer with one word. ""The native language of Thomas Horsfield is""",Malay.,"[[[""Mal"", ""0.555527""], [""English"", ""0.116445""], [""Ind"", ""0.109390""], [""Chinese"", ""0.033362""], [""**"", ""0.017857""]], [[""ay"", ""0.909617""], [""ays"", ""0.058150""], [""aysia"", ""0.011450""], [""ayo"", ""0.006129""], [""ayan"", ""0.006129""]], [[""."", ""0.536943""], ["""", ""0.238267""], [""alam"", ""0.163758""], ["" ("", ""0.008679""], [""\n"", ""0.007659""]], [["""", ""0.968108""], ["" *("", ""0.018875""], ["" ("", ""0.004772""], ["" **("", ""0.000688""], ["" (*"", ""0.000607""]]]"
Mathieu de Montmorency,native,French,P37,The native language of Mathieu de Montmorency is,"Complete the sentence. Answer with one word. ""The native language of Mathieu de Montmorency is""",French,"[[[""French"", ""0.683925""], [""Fran"", ""0.195948""], [""Fr"", ""0.009756""], [""**"", ""0.009756""], [""Norm"", ""0.008088""]], [["""", ""0.580472""], [""."", ""0.398952""], ["" ("", ""0.008814""], [""\n"", ""0.004163""], [""\n\n"", ""0.001439""]]]"
Lutry,the-official-language,French,P37,The official language of Lutry is,"Complete the sentence. Answer with one word. ""The official language of Lutry is""",French,"[[[""French"", ""0.548206""], [""Sw"", ""0.228526""], [""Fran"", ""0.095264""], [""**"", ""0.022627""], [""L"", ""0.008324""]], [["""", ""0.609918""], [""."", ""0.369934""], [""\n"", ""0.003627""], ["" ("", ""0.003407""], [""\n\n"", ""0.002824""]]]"
Newfoundland and Labrador,the-official-language,English,P37,The official language of Newfoundland and Labrador is,"Complete the sentence. Answer with one word. ""The official language of Newfoundland and Labrador is""",English,"[[[""English"", ""0.861071""], [""French"", ""0.033387""], [""The"", ""0.024427""], [""Eng"", ""0.019024""], [""**"", ""0.012283""]], [["""", ""0.722560""], [""."", ""0.265815""], ["" ("", ""0.005873""], ["" *("", ""0.000747""], ["" and"", ""0.000659""]]]"
Jean-Pierre Pernaut,mother-tongue,French,P37,The mother tongue of Jean-Pierre Pernaut is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean-Pierre Pernaut is""",French,"[[[""French"", ""0.630463""], [""Fran"", ""0.262816""], [""France"", ""0.022965""], [""**"", ""0.013085""], [""Al"", ""0.006181""]], [["""", ""0.558239""], [""."", ""0.434757""], ["" ("", ""0.001384""], [""\n"", ""0.001078""], ["" �"", ""0.000509""]]]"
Mozambique,the-official-language,Portuguese,P37,The official language of Mozambique is,"Complete the sentence. Answer with one word. ""The official language of Mozambique is""",Portuguese,"[[[""Port"", ""0.872653""], [""M"", ""0.081169""], [""The"", ""0.009694""], [""port"", ""0.003350""], [""**"", ""0.003147""]], [[""ug"", ""0.590696""], [""ugu"", ""0.405979""], [""uge"", ""0.002414""], [""ugh"", ""0.000136""], [""uga"", ""0.000106""]], [[""uese"", ""0.997290""], [""ese"", ""0.001499""], [""ês"", ""0.000335""], [""ue"", ""0.000277""], [""uez"", ""0.000203""]], [["""", ""0.587011""], [""."", ""0.356040""], ["" ("", ""0.024229""], ["" *("", ""0.007866""], [""\n"", ""0.004482""]]]"
Kaskinen,the-official-language,Finnish,P37,The official language of Kaskinen is,"Complete the sentence. Answer with one word. ""The official language of Kaskinen is""",Finnish,"[[[""Finn"", ""0.149756""], [""**"", ""0.066454""], [""K"", ""0.066454""], [""The"", ""0.062427""], [""\"""", ""0.040306""]], [[""ish"", ""0.999655""], [""isch"", ""0.000109""], [""lish"", ""0.000038""], [""ished"", ""0.000026""], [""ian"", ""0.000019""]], [["""", ""0.510426""], [""."", ""0.450450""], ["" ("", ""0.013602""], [""\n\n"", ""0.006840""], [""\n"", ""0.003035""]]]"
Peru,the-official-language,Spanish,P37,The official language of Peru is,"Complete the sentence. Answer with one word. ""The official language of Peru is""",Spanish.,"[[[""Spanish"", ""0.888461""], [""Esp"", ""0.019629""], [""Span"", ""0.019629""], [""The"", ""0.015287""], [""Sp"", ""0.011184""]], [[""."", ""0.582016""], ["""", ""0.400013""], ["" ("", ""0.004444""], ["" *("", ""0.001740""], [""\n\n"", ""0.001740""]], [["""", ""0.979383""], ["" *("", ""0.009020""], ["" ("", ""0.001776""], ["" **("", ""0.001012""], ["" {"", ""0.000788""]]]"
Dmitry Puchkov,mother-tongue,Russian,P37,The mother tongue of Dmitry Puchkov is,"Complete the sentence. Answer with one word. ""The mother tongue of Dmitry Puchkov is""",Russian.,"[[[""Russian"", ""0.550568""], [""Uk"", ""0.089878""], [""The"", ""0.048108""], [""Put"", ""0.029179""], [""**"", ""0.025750""]], [[""."", ""0.619708""], ["""", ""0.375872""], ["" �"", ""0.000875""], ["" ("", ""0.000640""], [""\n"", ""0.000602""]], [["""", ""0.994841""], ["" *("", ""0.001165""], ["" ("", ""0.000403""], ["" {"", ""0.000244""], ["" **("", ""0.000168""]]]"
Michel Saint-Denis,mother-tongue,French,P37,The mother tongue of Michel Saint-Denis is,"Complete the sentence. Answer with one word. ""The mother tongue of Michel Saint-Denis is""",French,"[[[""French"", ""0.663844""], [""Fran"", ""0.122799""], [""**"", ""0.018832""], [""Al"", ""0.012943""], [""France"", ""0.011422""]], [["""", ""0.723035""], [""."", ""0.265990""], ["" ("", ""0.002608""], [""\n"", ""0.002162""], [""\n\n"", ""0.000959""]]]"
Jean Petitot,mother-tongue,French,P37,The mother tongue of Jean Petitot is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean Petitot is""",French,"[[[""French"", ""0.688125""], [""Fran"", ""0.197151""], [""**"", ""0.020780""], [""France"", ""0.015203""], [""Fr"", ""0.013416""]], [["""", ""0.672425""], [""."", ""0.317631""], ["" ("", ""0.002140""], [""\n"", ""0.001774""], ["" �"", ""0.000695""]]]"
South Dakota,the-official-language,English,P37,The official language of South Dakota is,"Complete the sentence. Answer with one word. ""The official language of South Dakota is""",English,"[[[""English"", ""0.777005""], [""The"", ""0.030128""], [""American"", ""0.026588""], [""Eng"", ""0.020706""], [""**"", ""0.019452""]], [["""", ""0.614978""], [""."", ""0.373003""], ["" ("", ""0.005321""], [""\n\n"", ""0.000816""], ["" *("", ""0.000495""]]]"
Louis Joxe,native,French,P37,The native language of Louis Joxe is,"Complete the sentence. Answer with one word. ""The native language of Louis Joxe is""",French,"[[[""French"", ""0.801367""], [""Fran"", ""0.089911""], [""Lang"", ""0.016632""], [""Bas"", ""0.014678""], [""**"", ""0.007380""]], [["""", ""0.615175""], [""."", ""0.373122""], ["" ("", ""0.003033""], [""\n"", ""0.001839""], [""\n\n"", ""0.000816""]]]"
Utsjoki,the-official-language,Finnish,P37,The official language of Utsjoki is,"Complete the sentence. Answer with one word. ""The official language of Utsjoki is""",Finnish,"[[[""Finn"", ""0.514717""], [""S"", ""0.107891""], [""Sw"", ""0.074152""], [""K"", ""0.029038""], [""F"", ""0.027279""]], [[""ish"", ""0.992258""], [""ic"", ""0.002787""], [""isch"", ""0.000850""], [""sh"", ""0.000402""], [""shire"", ""0.000244""]], [["""", ""0.542547""], [""."", ""0.372887""], ["" ("", ""0.034684""], [""\n"", ""0.013582""], [""\n\n"", ""0.003656""]]]"
Kentucky,the-official-language,English,P37,The official language of Kentucky is,"Complete the sentence. Answer with one word. ""The official language of Kentucky is""",English,"[[[""English"", ""0.661318""], [""**"", ""0.061512""], [""The"", ""0.047906""], [""Eng"", ""0.025642""], [""\"""", ""0.022629""]], [["""", ""0.607394""], [""."", ""0.368403""], ["" ("", ""0.011125""], ["" *("", ""0.001706""], [""\n\n"", ""0.001248""]]]"
Georges Chamarat,mother-tongue,French,P37,The mother tongue of Georges Chamarat is,"Complete the sentence. Answer with one word. ""The mother tongue of Georges Chamarat is""",French,"[[[""French"", ""0.568930""], [""Fran"", ""0.209298""], [""Sw"", ""0.036371""], [""C"", ""0.015161""], [""Ind"", ""0.008115""]], [["""", ""0.723770""], [""."", ""0.266260""], [""\n"", ""0.001910""], ["" ("", ""0.001487""], [""\n\n"", ""0.001022""]]]"
Claude Rich,mother-tongue,French,P37,The mother tongue of Claude Rich is,"Complete the sentence. Answer with one word. ""The mother tongue of Claude Rich is""",French,"[[[""French"", ""0.840114""], [""Fran"", ""0.060858""], [""France"", ""0.012756""], [""**"", ""0.012756""], [""Al"", ""0.005661""]], [["""", ""0.696681""], [""."", ""0.290420""], ["" ("", ""0.002360""], [""\n"", ""0.001622""], [""\n\n"", ""0.001047""]]]"
Jean Davy,native,French,P37,The native language of Jean Davy is,"Complete the sentence. Answer with one word. ""The native language of Jean Davy is""",French,"[[[""French"", ""0.645861""], [""Fran"", ""0.119472""], [""Al"", ""0.020761""], [""Fr"", ""0.012592""], [""Sw"", ""0.010439""]], [["""", ""0.642176""], [""."", ""0.343732""], ["" ("", ""0.004606""], [""\n"", ""0.002176""], [""\n\n"", ""0.000965""]]]"
Xavier Beauvois,mother-tongue,French,P37,The mother tongue of Xavier Beauvois is,"Complete the sentence. Answer with one word. ""The mother tongue of Xavier Beauvois is""",French,"[[[""French"", ""0.816171""], [""Fran"", ""0.097478""], [""France"", ""0.015913""], [""**"", ""0.011642""], [""Fr"", ""0.009067""]], [["""", ""0.525807""], [""."", ""0.464023""], ["" ("", ""0.002937""], [""\n"", ""0.001387""], ["" (*"", ""0.000743""]]]"
Jersey,the-official-language,English,P37,The official language of Jersey is,"Complete the sentence. Answer with one word. ""The official language of Jersey is""",English,"[[[""English"", ""0.420418""], [""French"", ""0.420418""], [""The"", ""0.030455""], [""**"", ""0.020931""], [""Jer"", ""0.019663""]], [["""", ""0.583328""], [""."", ""0.400915""], ["" ("", ""0.006480""], [""\n"", ""0.001638""], ["" *("", ""0.001126""]]]"
Pierre Emmanuel,mother-tongue,French,P37,The mother tongue of Pierre Emmanuel is,"Complete the sentence. Answer with one word. ""The mother tongue of Pierre Emmanuel is""",French,"[[[""French"", ""0.700181""], [""Fran"", ""0.156232""], [""France"", ""0.023959""], [""Fr"", ""0.019863""], [""**"", ""0.014532""]], [["""", ""0.825380""], [""."", ""0.162527""], ["" ("", ""0.002178""], [""\n"", ""0.002178""], ["" �"", ""0.001241""]]]"
Viacheslav Belavkin,mother-tongue,Russian,P37,The mother tongue of Viacheslav Belavkin is,"Complete the sentence. Answer with one word. ""The mother tongue of Viacheslav Belavkin is""",Russian.,"[[[""Russian"", ""0.568847""], [""Uk"", ""0.304482""], [""U"", ""0.015159""], [""R"", ""0.015159""], [""Russ"", ""0.014241""]], [[""."", ""0.676013""], ["""", ""0.319326""], ["" �"", ""0.001016""], ["" ("", ""0.000744""], [""\n"", ""0.000511""]], [["""", ""0.995203""], ["" *("", ""0.000664""], ["" ("", ""0.000355""], ["" {"", ""0.000229""], ["" **("", ""0.000179""]]]"
Michel Vinaver,mother-tongue,French,P37,The mother tongue of Michel Vinaver is,"Complete the sentence. Answer with one word. ""The mother tongue of Michel Vinaver is""",French,"[[[""French"", ""0.672242""], [""Fran"", ""0.062528""], [""Pol"", ""0.016829""], [""Port"", ""0.016829""], [""**"", ""0.015810""]], [["""", ""0.496583""], [""."", ""0.496583""], ["" ("", ""0.000846""], [""\n"", ""0.000846""], ["" �"", ""0.000747""]]]"
Lapinlahti,the-official-language,Finnish,P37,The official language of Lapinlahti is,"Complete the sentence. Answer with one word. ""The official language of Lapinlahti is""",Finnish,"[[[""Finn"", ""0.562732""], [""Sw"", ""0.043393""], [""**"", ""0.035974""], [""The"", ""0.033795""], [""K"", ""0.028017""]], [[""ish"", ""0.999380""], [""isch"", ""0.000123""], [""ese"", ""0.000075""], [""lish"", ""0.000055""], [""ished"", ""0.000040""]], [["""", ""0.548633""], [""."", ""0.427276""], ["" ("", ""0.010697""], [""\n"", ""0.002106""], ["" �"", ""0.001640""]]]"
Pierre Guyotat,mother-tongue,French,P37,The mother tongue of Pierre Guyotat is,"Complete the sentence. Answer with one word. ""The mother tongue of Pierre Guyotat is""",French,"[[[""French"", ""0.678145""], [""Fran"", ""0.220161""], [""Fr"", ""0.014074""], [""**"", ""0.010961""], [""France"", ""0.009673""]], [["""", ""0.700967""], [""."", ""0.292206""], ["" ("", ""0.001271""], [""\n"", ""0.001122""], [""\n\n"", ""0.000498""]]]"
Carouge,the-official-language,French,P37,The official language of Carouge is,"Complete the sentence. Answer with one word. ""The official language of Carouge is""",French.,"[[[""French"", ""0.591896""], [""Fran"", ""0.217746""], [""Sw"", ""0.116551""], [""**"", ""0.012284""], [""Fr"", ""0.006177""]], [[""."", ""0.523279""], ["""", ""0.461792""], ["" ("", ""0.002746""], [""\n"", ""0.002580""], ["" *("", ""0.002009""]], [["""", ""0.976837""], ["" *("", ""0.014832""], ["" ("", ""0.001664""], ["" {"", ""0.000738""], ["" **("", ""0.000652""]]]"
Vladimir Vinogradov,mother-tongue,Russian,P37,The mother tongue of Vladimir Vinogradov is,"Complete the sentence. Answer with one word. ""The mother tongue of Vladimir Vinogradov is""",Russian.,"[[[""Russian"", ""0.848289""], [""Uk"", ""0.025616""], [""Russ"", ""0.019950""], [""R"", ""0.013711""], [""The"", ""0.008316""]], [[""."", ""0.676483""], ["""", ""0.319548""], ["" �"", ""0.000898""], ["" ("", ""0.000480""], [""\n"", ""0.000451""]], [["""", ""0.994114""], ["" *("", ""0.001027""], ["" ("", ""0.000485""], ["" {"", ""0.000276""], ["" **("", ""0.000202""]]]"
