subject,rel_lemma,object,rel_p_id,query,prompt,model_output,output_probs
Jean Dujardin,mother-tongue,French,P37,The mother tongue of Jean Dujardin is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean Dujardin is""",French,"[[[""French"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Maurice Biraud,mother-tongue,French,P37,The mother tongue of Maurice Biraud is,"Complete the sentence. Answer with one word. ""The mother tongue of Maurice Biraud is""",French,"[[[""French"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Aleksey Khomyakov,mother-tongue,Russian,P37,The mother tongue of Aleksey Khomyakov is,"Complete the sentence. Answer with one word. ""The mother tongue of Aleksey Khomyakov is""",Russian,"[[[""Russian"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Serbia and Montenegro,the-official-language,Serbian,P37,The official language of Serbia and Montenegro is,"Complete the sentence. Answer with one word. ""The official language of Serbia and Montenegro is""",Serbian,"[[[""Ser"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""bian"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Roland Armontel,mother-tongue,French,P37,The mother tongue of Roland Armontel is,"Complete the sentence. Answer with one word. ""The mother tongue of Roland Armontel is""",French,"[[[""French"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Jean-Baptiste Philibert Willaumez,mother-tongue,French,P37,The mother tongue of Jean-Baptiste Philibert Willaumez is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean-Baptiste Philibert Willaumez is""",French,"[[[""French"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Wil Huygen,mother-tongue,Dutch,P37,The mother tongue of Wil Huygen is,"Complete the sentence. Answer with one word. ""The mother tongue of Wil Huygen is""",Dutch,"[[[""D"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""utch"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Kiruna Municipality,the-official-language,Swedish,P37,The official language of Kiruna Municipality is,"Complete the sentence. Answer with one word. ""The official language of Kiruna Municipality is""",Swedish,"[[[""Sw"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""edish"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Kokkola,the-official-language,Finnish,P37,The official language of Kokkola is,"Complete the sentence. Answer with one word. ""The official language of Kokkola is""",Finnish,"[[[""F"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""inn"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ish"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Alexander Butlerov,mother-tongue,Russian,P37,The mother tongue of Alexander Butlerov is,"Complete the sentence. Answer with one word. ""The mother tongue of Alexander Butlerov is""",Russian,"[[[""Russian"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Isabelle Autissier,native,French,P37,The native language of Isabelle Autissier is,"Complete the sentence. Answer with one word. ""The native language of Isabelle Autissier is""",French,"[[[""French"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Camorino,the-official-language,Italian,P37,The official language of Camorino is,"Complete the sentence. Answer with one word. ""The official language of Camorino is""",Italian,"[[[""Italian"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Belgium,the-official-language,French,P37,The official language of Belgium is,"Complete the sentence. Answer with one word. ""The official language of Belgium is""",Dutch,"[[[""D"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""utch"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Thomas Horsfield,native,English,P37,The native language of Thomas Horsfield is,"Complete the sentence. Answer with one word. ""The native language of Thomas Horsfield is""",English,"[[[""English"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Mathieu de Montmorency,native,French,P37,The native language of Mathieu de Montmorency is,"Complete the sentence. Answer with one word. ""The native language of Mathieu de Montmorency is""",French,"[[[""French"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Lutry,the-official-language,French,P37,The official language of Lutry is,"Complete the sentence. Answer with one word. ""The official language of Lutry is""",French,"[[[""French"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Newfoundland and Labrador,the-official-language,English,P37,The official language of Newfoundland and Labrador is,"Complete the sentence. Answer with one word. ""The official language of Newfoundland and Labrador is""",English,"[[[""English"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Jean-Pierre Pernaut,mother-tongue,French,P37,The mother tongue of Jean-Pierre Pernaut is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean-Pierre Pernaut is""",French,"[[[""French"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Mozambique,the-official-language,Portuguese,P37,The official language of Mozambique is,"Complete the sentence. Answer with one word. ""The official language of Mozambique is""",Portuguese,"[[[""Port"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ug"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""uese"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Kaskinen,the-official-language,Finnish,P37,The official language of Kaskinen is,"Complete the sentence. Answer with one word. ""The official language of Kaskinen is""",Finnish,"[[[""F"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""inn"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ish"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Peru,the-official-language,Spanish,P37,The official language of Peru is,"Complete the sentence. Answer with one word. ""The official language of Peru is""",Spanish,"[[[""Spanish"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Dmitry Puchkov,mother-tongue,Russian,P37,The mother tongue of Dmitry Puchkov is,"Complete the sentence. Answer with one word. ""The mother tongue of Dmitry Puchkov is""",Russian,"[[[""Russian"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Michel Saint-Denis,mother-tongue,French,P37,The mother tongue of Michel Saint-Denis is,"Complete the sentence. Answer with one word. ""The mother tongue of Michel Saint-Denis is""",French,"[[[""French"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Jean Petitot,mother-tongue,French,P37,The mother tongue of Jean Petitot is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean Petitot is""",French,"[[[""French"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
South Dakota,the-official-language,English,P37,The official language of South Dakota is,"Complete the sentence. Answer with one word. ""The official language of South Dakota is""",English,"[[[""English"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Louis Joxe,native,French,P37,The native language of Louis Joxe is,"Complete the sentence. Answer with one word. ""The native language of Louis Joxe is""",French,"[[[""French"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Utsjoki,the-official-language,Finnish,P37,The official language of Utsjoki is,"Complete the sentence. Answer with one word. ""The official language of Utsjoki is""",Finnish,"[[[""F"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""inn"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ish"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Kentucky,the-official-language,English,P37,The official language of Kentucky is,"Complete the sentence. Answer with one word. ""The official language of Kentucky is""",English,"[[[""English"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Georges Chamarat,mother-tongue,French,P37,The mother tongue of Georges Chamarat is,"Complete the sentence. Answer with one word. ""The mother tongue of Georges Chamarat is""",French,"[[[""French"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Claude Rich,mother-tongue,French,P37,The mother tongue of Claude Rich is,"Complete the sentence. Answer with one word. ""The mother tongue of Claude Rich is""",French,"[[[""French"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Jean Davy,native,French,P37,The native language of Jean Davy is,"Complete the sentence. Answer with one word. ""The native language of Jean Davy is""",French,"[[[""French"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Xavier Beauvois,mother-tongue,French,P37,The mother tongue of Xavier Beauvois is,"Complete the sentence. Answer with one word. ""The mother tongue of Xavier Beauvois is""",French,"[[[""French"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Jersey,the-official-language,English,P37,The official language of Jersey is,"Complete the sentence. Answer with one word. ""The official language of Jersey is""",English,"[[[""English"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Pierre Emmanuel,mother-tongue,French,P37,The mother tongue of Pierre Emmanuel is,"Complete the sentence. Answer with one word. ""The mother tongue of Pierre Emmanuel is""",French,"[[[""French"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Viacheslav Belavkin,mother-tongue,Russian,P37,The mother tongue of Viacheslav Belavkin is,"Complete the sentence. Answer with one word. ""The mother tongue of Viacheslav Belavkin is""",Russian,"[[[""Russian"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Michel Vinaver,mother-tongue,French,P37,The mother tongue of Michel Vinaver is,"Complete the sentence. Answer with one word. ""The mother tongue of Michel Vinaver is""",French,"[[[""French"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Lapinlahti,the-official-language,Finnish,P37,The official language of Lapinlahti is,"Complete the sentence. Answer with one word. ""The official language of Lapinlahti is""",Finnish,"[[[""F"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""inn"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ish"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Pierre Guyotat,mother-tongue,French,P37,The mother tongue of Pierre Guyotat is,"Complete the sentence. Answer with one word. ""The mother tongue of Pierre Guyotat is""",French,"[[[""French"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Carouge,the-official-language,French,P37,The official language of Carouge is,"Complete the sentence. Answer with one word. ""The official language of Carouge is""",French,"[[[""French"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Vladimir Vinogradov,mother-tongue,Russian,P37,The mother tongue of Vladimir Vinogradov is,"Complete the sentence. Answer with one word. ""The mother tongue of Vladimir Vinogradov is""",Russian,"[[[""Russian"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Georges Marchal,mother-tongue,French,P37,The mother tongue of Georges Marchal is,"Complete the sentence. Answer with one word. ""The mother tongue of Georges Marchal is""",French,"[[[""French"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Pierre-Alexandre-Laurent Forfait,mother-tongue,French,P37,The mother tongue of Pierre-Alexandre-Laurent Forfait is,"Complete the sentence. Answer with one word. ""The mother tongue of Pierre-Alexandre-Laurent Forfait is""",French,"[[[""French"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Nicolas Chamfort,mother-tongue,French,P37,The mother tongue of Nicolas Chamfort is,"Complete the sentence. Answer with one word. ""The mother tongue of Nicolas Chamfort is""",French,"[[[""French"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Jean Rouaud,mother-tongue,French,P37,The mother tongue of Jean Rouaud is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean Rouaud is""",French,"[[[""French"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Canton of Jura,the-official-language,French,P37,The official language of Canton of Jura is,"Complete the sentence. Answer with one word. ""The official language of Canton of Jura is""",French,"[[[""French"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Robert Jan van Pelt,mother-tongue,Dutch,P37,The mother tongue of Robert Jan van Pelt is,"Complete the sentence. Answer with one word. ""The mother tongue of Robert Jan van Pelt is""",Dutch,"[[[""D"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""utch"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Nicaragua,the-official-language,Spanish,P37,The official language of Nicaragua is,"Complete the sentence. Answer with one word. ""The official language of Nicaragua is""",Spanish,"[[[""Spanish"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Donald Keene,native,English,P37,The native language of Donald Keene is,"Complete the sentence. Answer with one word. ""The native language of Donald Keene is""",English,"[[[""English"", ""0.544524""], [""Japanese"", ""0.455476""], [""#"", ""0.000000""], [""\"""", ""0.000000""], [""!"", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
