subject,rel_lemma,object,rel_p_id,query,prompt,model_output
Kiruna Municipality,the-official-language,Swedish,P37,The official language of Kiruna Municipality is,"Complete the sentence. Answer with one word. ""The official language of Kiruna Municipality is""",Swedish
Kokkola,the-official-language,Finnish,P37,The official language of Kokkola is,"Complete the sentence. Answer with one word. ""The official language of Kokkola is""",Finnish
Alexander Butlerov,mother-tongue,Russian,P37,The mother tongue of Alexander Butlerov is,"Complete the sentence. Answer with one word. ""The mother tongue of Alexander Butlerov is""",Russian
Isabelle Autissier,native,French,P37,The native language of Isabelle Autissier is,"Complete the sentence. Answer with one word. ""The native language of Isabelle Autissier is""",French
Camorino,the-official-language,Italian,P37,The official language of Camorino is,"Complete the sentence. Answer with one word. ""The official language of Camorino is""",Italian
Belgium,the-official-language,French,P37,The official language of Belgium is,"Complete the sentence. Answer with one word. ""The official language of Belgium is""",Dutch
Thomas Horsfield,native,English,P37,The native language of Thomas Horsfield is,"Complete the sentence. Answer with one word. ""The native language of Thomas Horsfield is""",English
Mathieu de Montmorency,native,French,P37,The native language of Mathieu de Montmorency is,"Complete the sentence. Answer with one word. ""The native language of Mathieu de Montmorency is""",French
Lutry,the-official-language,French,P37,The official language of Lutry is,"Complete the sentence. Answer with one word. ""The official language of Lutry is""",French
Newfoundland and Labrador,the-official-language,English,P37,The official language of Newfoundland and Labrador is,"Complete the sentence. Answer with one word. ""The official language of Newfoundland and Labrador is""",English
Jean-Pierre Pernaut,mother-tongue,French,P37,The mother tongue of Jean-Pierre Pernaut is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean-Pierre Pernaut is""",French
Mozambique,the-official-language,Portuguese,P37,The official language of Mozambique is,"Complete the sentence. Answer with one word. ""The official language of Mozambique is""",Portuguese
Kaskinen,the-official-language,Finnish,P37,The official language of Kaskinen is,"Complete the sentence. Answer with one word. ""The official language of Kaskinen is""",Swedish
Peru,the-official-language,Spanish,P37,The official language of Peru is,"Complete the sentence. Answer with one word. ""The official language of Peru is""",Spanish
Dmitry Puchkov,mother-tongue,Russian,P37,The mother tongue of Dmitry Puchkov is,"Complete the sentence. Answer with one word. ""The mother tongue of Dmitry Puchkov is""",Russian
Michel Saint-Denis,mother-tongue,French,P37,The mother tongue of Michel Saint-Denis is,"Complete the sentence. Answer with one word. ""The mother tongue of Michel Saint-Denis is""",French
Jean Petitot,mother-tongue,French,P37,The mother tongue of Jean Petitot is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean Petitot is""",French
South Dakota,the-official-language,English,P37,The official language of South Dakota is,"Complete the sentence. Answer with one word. ""The official language of South Dakota is""",English
Louis Joxe,native,French,P37,The native language of Louis Joxe is,"Complete the sentence. Answer with one word. ""The native language of Louis Joxe is""",French
Utsjoki,the-official-language,Finnish,P37,The official language of Utsjoki is,"Complete the sentence. Answer with one word. ""The official language of Utsjoki is""",Sami
Kentucky,the-official-language,English,P37,The official language of Kentucky is,"Complete the sentence. Answer with one word. ""The official language of Kentucky is""",English
Georges Chamarat,mother-tongue,French,P37,The mother tongue of Georges Chamarat is,"Complete the sentence. Answer with one word. ""The mother tongue of Georges Chamarat is""",French
Claude Rich,mother-tongue,French,P37,The mother tongue of Claude Rich is,"Complete the sentence. Answer with one word. ""The mother tongue of Claude Rich is""",French
Jean Davy,native,French,P37,The native language of Jean Davy is,"Complete the sentence. Answer with one word. ""The native language of Jean Davy is""",French
Xavier Beauvois,mother-tongue,French,P37,The mother tongue of Xavier Beauvois is,"Complete the sentence. Answer with one word. ""The mother tongue of Xavier Beauvois is""",French
Jersey,the-official-language,English,P37,The official language of Jersey is,"Complete the sentence. Answer with one word. ""The official language of Jersey is""",English
Pierre Emmanuel,mother-tongue,French,P37,The mother tongue of Pierre Emmanuel is,"Complete the sentence. Answer with one word. ""The mother tongue of Pierre Emmanuel is""",French
Viacheslav Belavkin,mother-tongue,Russian,P37,The mother tongue of Viacheslav Belavkin is,"Complete the sentence. Answer with one word. ""The mother tongue of Viacheslav Belavkin is""",Russian
Michel Vinaver,mother-tongue,French,P37,The mother tongue of Michel Vinaver is,"Complete the sentence. Answer with one word. ""The mother tongue of Michel Vinaver is""",French
Lapinlahti,the-official-language,Finnish,P37,The official language of Lapinlahti is,"Complete the sentence. Answer with one word. ""The official language of Lapinlahti is""",Finnish
Pierre Guyotat,mother-tongue,French,P37,The mother tongue of Pierre Guyotat is,"Complete the sentence. Answer with one word. ""The mother tongue of Pierre Guyotat is""",French
Carouge,the-official-language,French,P37,The official language of Carouge is,"Complete the sentence. Answer with one word. ""The official language of Carouge is""",French
Vladimir Vinogradov,mother-tongue,Russian,P37,The mother tongue of Vladimir Vinogradov is,"Complete the sentence. Answer with one word. ""The mother tongue of Vladimir Vinogradov is""",Russian
Georges Marchal,mother-tongue,French,P37,The mother tongue of Georges Marchal is,"Complete the sentence. Answer with one word. ""The mother tongue of Georges Marchal is""",French
Pierre-Alexandre-Laurent Forfait,mother-tongue,French,P37,The mother tongue of Pierre-Alexandre-Laurent Forfait is,"Complete the sentence. Answer with one word. ""The mother tongue of Pierre-Alexandre-Laurent Forfait is""",French
Nicolas Chamfort,mother-tongue,French,P37,The mother tongue of Nicolas Chamfort is,"Complete the sentence. Answer with one word. ""The mother tongue of Nicolas Chamfort is""",French
Jean Rouaud,mother-tongue,French,P37,The mother tongue of Jean Rouaud is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean Rouaud is""",French
Canton of Jura,the-official-language,French,P37,The official language of Canton of Jura is,"Complete the sentence. Answer with one word. ""The official language of Canton of Jura is""",French
Robert Jan van Pelt,mother-tongue,Dutch,P37,The mother tongue of Robert Jan van Pelt is,"Complete the sentence. Answer with one word. ""The mother tongue of Robert Jan van Pelt is""",Dutch
Nicaragua,the-official-language,Spanish,P37,The official language of Nicaragua is,"Complete the sentence. Answer with one word. ""The official language of Nicaragua is""",Spanish
Donald Keene,native,English,P37,The native language of Donald Keene is,"Complete the sentence. Answer with one word. ""The native language of Donald Keene is""",English
Russians,mother-tongue,Russian,P37,The mother tongue of Russians is,"Complete the sentence. Answer with one word. ""The mother tongue of Russians is""",Russian
Jean-Claude Brisseau,mother-tongue,French,P37,The mother tongue of Jean-Claude Brisseau is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean-Claude Brisseau is""",French
Louis Dutens,mother-tongue,French,P37,The mother tongue of Louis Dutens is,"Complete the sentence. Answer with one word. ""The mother tongue of Louis Dutens is""",French
Armenia,the-official-language,Armenian,P37,The official language of Armenia is,"Complete the sentence. Answer with one word. ""The official language of Armenia is""",Armenian
Juva,the-official-language,Finnish,P37,The official language of Juva is,"Complete the sentence. Answer with one word. ""The official language of Juva is""",Finnish
Ivory Coast,the-official-language,French,P37,The official language of Ivory Coast is,"Complete the sentence. Answer with one word. ""The official language of Ivory Coast is""",French
Alicante,the-official-language,Spanish,P37,The official language of Alicante is,"Complete the sentence. Answer with one word. ""The official language of Alicante is""",Spanish
Christian Jacq,mother-tongue,French,P37,The mother tongue of Christian Jacq is,"Complete the sentence. Answer with one word. ""The mother tongue of Christian Jacq is""",French
Sweden,the-official-language,Swedish,P37,The official language of Sweden is,"Complete the sentence. Answer with one word. ""The official language of Sweden is""",Swedish
Leo Tolstoy,mother-tongue,Russian,P37,The mother tongue of Leo Tolstoy is,"Complete the sentence. Answer with one word. ""The mother tongue of Leo Tolstoy is""",Russian
Pierre Brasseur,mother-tongue,French,P37,The mother tongue of Pierre Brasseur is,"Complete the sentence. Answer with one word. ""The mother tongue of Pierre Brasseur is""",French
Grigoris Lambrakis,native,Greek,P37,The native language of Grigoris Lambrakis is,"Complete the sentence. Answer with one word. ""The native language of Grigoris Lambrakis is""",Greek
Fiji,the-official-language,English,P37,The official language of Fiji is,"Complete the sentence. Answer with one word. ""The official language of Fiji is""",English
Chardonne,the-official-language,French,P37,The official language of Chardonne is,"Complete the sentence. Answer with one word. ""The official language of Chardonne is""",French
French immersion,the-official-language,French,P37,The official language of French immersion is,"Complete the sentence. Answer with one word. ""The official language of French immersion is""",French
Vera Brezhneva,mother-tongue,Russian,P37,The mother tongue of Vera Brezhneva is,"Complete the sentence. Answer with one word. ""The mother tongue of Vera Brezhneva is""",Ukrainian
Jean Marais,mother-tongue,French,P37,The mother tongue of Jean Marais is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean Marais is""",French
Odessa Oblast,the-official-language,Ukrainian,P37,The official language of Odessa Oblast is,"Complete the sentence. Answer with one word. ""The official language of Odessa Oblast is""",Ukrainian
Anna Kournikova,mother-tongue,Russian,P37,The mother tongue of Anna Kournikova is,"Complete the sentence. Answer with one word. ""The mother tongue of Anna Kournikova is""",Russian
Georges Pompidou,mother-tongue,French,P37,The mother tongue of Georges Pompidou is,"Complete the sentence. Answer with one word. ""The mother tongue of Georges Pompidou is""",French
Lee Chang-dong,native,Korean,P37,The native language of Lee Chang-dong is,"Complete the sentence. Answer with one word. ""The native language of Lee Chang-dong is""",Korean
Lindsey Davis,mother-tongue,English,P37,The mother tongue of Lindsey Davis is,"Complete the sentence. Answer with one word. ""The mother tongue of Lindsey Davis is""",English
Mikhail Evstafiev,mother-tongue,Russian,P37,The mother tongue of Mikhail Evstafiev is,"Complete the sentence. Answer with one word. ""The mother tongue of Mikhail Evstafiev is""",Russian
Republic of Buryatia,the-official-language,Russian,P37,The official language of Republic of Buryatia is,"Complete the sentence. Answer with one word. ""The official language of Republic of Buryatia is""",Buryat
Union between Sweden and Norway,the-official-language,Norwegian,P37,The official language of Union between Sweden and Norway is,"Complete the sentence. Answer with one word. ""The official language of Union between Sweden and Norway is""",Swedish
Pierre Lescure,mother-tongue,French,P37,The mother tongue of Pierre Lescure is,"Complete the sentence. Answer with one word. ""The mother tongue of Pierre Lescure is""",French
San Marino,the-official-language,Italian,P37,The official language of San Marino is,"Complete the sentence. Answer with one word. ""The official language of San Marino is""",Italian
Andy Murray,native,English,P37,The native language of Andy Murray is,"Complete the sentence. Answer with one word. ""The native language of Andy Murray is""",English
Chiasso,the-official-language,Italian,P37,The official language of Chiasso is,"Complete the sentence. Answer with one word. ""The official language of Chiasso is""",Italian
Andrey Malakhov,mother-tongue,Russian,P37,The mother tongue of Andrey Malakhov is,"Complete the sentence. Answer with one word. ""The mother tongue of Andrey Malakhov is""",Russian
Saint Lucia,the-official-language,English,P37,The official language of Saint Lucia is,"Complete the sentence. Answer with one word. ""The official language of Saint Lucia is""",English
Suomenniemi,the-official-language,Finnish,P37,The official language of Suomenniemi is,"Complete the sentence. Answer with one word. ""The official language of Suomenniemi is""",Finnish
Valencian Community,the-official-language,Spanish,P37,The official language of Valencian Community is,"Complete the sentence. Answer with one word. ""The official language of Valencian Community is""",Valencian
Jean Giraudoux,mother-tongue,French,P37,The mother tongue of Jean Giraudoux is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean Giraudoux is""",French
Yuri Knorozov,mother-tongue,Russian,P37,The mother tongue of Yuri Knorozov is,"Complete the sentence. Answer with one word. ""The mother tongue of Yuri Knorozov is""",Russian
Jean Piat,mother-tongue,French,P37,The mother tongue of Jean Piat is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean Piat is""",French
Claude-Joseph Dorat,mother-tongue,French,P37,The mother tongue of Claude-Joseph Dorat is,"Complete the sentence. Answer with one word. ""The mother tongue of Claude-Joseph Dorat is""",French
Charlotte-Rose de Caumont de La Force,mother-tongue,French,P37,The mother tongue of Charlotte-Rose de Caumont de La Force is,"Complete the sentence. Answer with one word. ""The mother tongue of Charlotte-Rose de Caumont de La Force is""",French
Netherlands,the-official-language,Dutch,P37,The official language of Netherlands is,"Complete the sentence. Answer with one word. ""The official language of Netherlands is""",Dutch
Turkey,the-official-language,Turkish,P37,The official language of Turkey is,"Complete the sentence. Answer with one word. ""The official language of Turkey is""",Turkish
Nazi Germany,the-official-language,German,P37,The official language of Nazi Germany is,"Complete the sentence. Answer with one word. ""The official language of Nazi Germany is""",German
Nathalie Baye,mother-tongue,French,P37,The mother tongue of Nathalie Baye is,"Complete the sentence. Answer with one word. ""The mother tongue of Nathalie Baye is""",French
Jacques Dynam,mother-tongue,French,P37,The mother tongue of Jacques Dynam is,"Complete the sentence. Answer with one word. ""The mother tongue of Jacques Dynam is""",French
Bulgaria,the-official-language,Bulgarian,P37,The official language of Bulgaria is,"Complete the sentence. Answer with one word. ""The official language of Bulgaria is""",Bulgarian
Jacques Cazotte,mother-tongue,French,P37,The mother tongue of Jacques Cazotte is,"Complete the sentence. Answer with one word. ""The mother tongue of Jacques Cazotte is""",French
Canada,the-official-language,English,P37,The official language of Canada is,"Complete the sentence. Answer with one word. ""The official language of Canada is""",both
Mistretta,the-official-language,Italian,P37,The official language of Mistretta is,"Complete the sentence. Answer with one word. ""The official language of Mistretta is""",Italian
Canton of Vaud,the-official-language,French,P37,The official language of Canton of Vaud is,"Complete the sentence. Answer with one word. ""The official language of Canton of Vaud is""",French
Emmanuel Macron,mother-tongue,French,P37,The mother tongue of Emmanuel Macron is,"Complete the sentence. Answer with one word. ""The mother tongue of Emmanuel Macron is""",French
Barbados,the-official-language,English,P37,The official language of Barbados is,"Complete the sentence. Answer with one word. ""The official language of Barbados is""",English
Eugene Kaspersky,mother-tongue,Russian,P37,The mother tongue of Eugene Kaspersky is,"Complete the sentence. Answer with one word. ""The mother tongue of Eugene Kaspersky is""",Russian
Evert Willem Beth,mother-tongue,Dutch,P37,The mother tongue of Evert Willem Beth is,"Complete the sentence. Answer with one word. ""The mother tongue of Evert Willem Beth is""",Dutch
Ilya Nikolaevich Ulyanov,mother-tongue,Russian,P37,The mother tongue of Ilya Nikolaevich Ulyanov is,"Complete the sentence. Answer with one word. ""The mother tongue of Ilya Nikolaevich Ulyanov is""",Russian
Armand Trousseau,native,French,P37,The native language of Armand Trousseau is,"Complete the sentence. Answer with one word. ""The native language of Armand Trousseau is""",French
Samuel Benchetrit,native,French,P37,The native language of Samuel Benchetrit is,"Complete the sentence. Answer with one word. ""The native language of Samuel Benchetrit is""",French
Jean Debucourt,mother-tongue,French,P37,The mother tongue of Jean Debucourt is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean Debucourt is""",French
Annick Alane,mother-tongue,French,P37,The mother tongue of Annick Alane is,"Complete the sentence. Answer with one word. ""The mother tongue of Annick Alane is""",French
Jules Roy,mother-tongue,French,P37,The mother tongue of Jules Roy is,"Complete the sentence. Answer with one word. ""The mother tongue of Jules Roy is""",French
Wang Shu,mother-tongue,Chinese,P37,The mother tongue of Wang Shu is,"Complete the sentence. Answer with one word. ""The mother tongue of Wang Shu is""",Chinese
Auguste Villiers de l'Isle-Adam,mother-tongue,French,P37,The mother tongue of Auguste Villiers de l'Isle-Adam is,"Complete the sentence. Answer with one word. ""The mother tongue of Auguste Villiers de l'Isle-Adam is""",French
Quetzaltenango,the-official-language,Spanish,P37,The official language of Quetzaltenango is,"Complete the sentence. Answer with one word. ""The official language of Quetzaltenango is""",Spanish
Australia,the-official-language,English,P37,The official language of Australia is,"Complete the sentence. Answer with one word. ""The official language of Australia is""",English
Isabelle Nanty,mother-tongue,French,P37,The mother tongue of Isabelle Nanty is,"Complete the sentence. Answer with one word. ""The mother tongue of Isabelle Nanty is""",French
Andreas Karkavitsas,mother-tongue,Greek,P37,The mother tongue of Andreas Karkavitsas is,"Complete the sentence. Answer with one word. ""The mother tongue of Andreas Karkavitsas is""",Greek
Michel d'Ornano,mother-tongue,French,P37,The mother tongue of Michel d'Ornano is,"Complete the sentence. Answer with one word. ""The mother tongue of Michel d'Ornano is""",French
Lev Kulidzhanov,mother-tongue,Russian,P37,The mother tongue of Lev Kulidzhanov is,"Complete the sentence. Answer with one word. ""The mother tongue of Lev Kulidzhanov is""",Russian
Lappeenranta,the-official-language,Finnish,P37,The official language of Lappeenranta is,"Complete the sentence. Answer with one word. ""The official language of Lappeenranta is""",Finnish
Pierre Bayle,mother-tongue,French,P37,The mother tongue of Pierre Bayle is,"Complete the sentence. Answer with one word. ""The mother tongue of Pierre Bayle is""",French
Sint Maarten,the-official-language,Dutch,P37,The official language of Sint Maarten is,"Complete the sentence. Answer with one word. ""The official language of Sint Maarten is""",English
Jean-Luc Marion,mother-tongue,French,P37,The mother tongue of Jean-Luc Marion is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean-Luc Marion is""",French
Catherine Deneuve,mother-tongue,French,P37,The mother tongue of Catherine Deneuve is,"Complete the sentence. Answer with one word. ""The mother tongue of Catherine Deneuve is""",French
Bali,the-official-language,Indonesian,P37,The official language of Bali is,"Complete the sentence. Answer with one word. ""The official language of Bali is""",Indonesian
Pascale Ogier,mother-tongue,French,P37,The mother tongue of Pascale Ogier is,"Complete the sentence. Answer with one word. ""The mother tongue of Pascale Ogier is""",French
Jean Lefebvre,mother-tongue,French,P37,The mother tongue of Jean Lefebvre is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean Lefebvre is""",French
Raseborg,the-official-language,Swedish,P37,The official language of Raseborg is,"Complete the sentence. Answer with one word. ""The official language of Raseborg is""",Swedish
Yverdon-les-Bains,the-official-language,French,P37,The official language of Yverdon-les-Bains is,"Complete the sentence. Answer with one word. ""The official language of Yverdon-les-Bains is""",French
Jean-Bernard Raimond,mother-tongue,French,P37,The mother tongue of Jean-Bernard Raimond is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean-Bernard Raimond is""",French
Gustave de Beaumont,mother-tongue,French,P37,The mother tongue of Gustave de Beaumont is,"Complete the sentence. Answer with one word. ""The mother tongue of Gustave de Beaumont is""",French
Arvidsjaur Municipality,the-official-language,Swedish,P37,The official language of Arvidsjaur Municipality is,"Complete the sentence. Answer with one word. ""The official language of Arvidsjaur Municipality is""",Swedish
Republic of Mordovia,the-official-language,Russian,P37,The official language of Republic of Mordovia is,"Complete the sentence. Answer with one word. ""The official language of Republic of Mordovia is""",Mordovian
Adolphe Pinard,mother-tongue,French,P37,The mother tongue of Adolphe Pinard is,"Complete the sentence. Answer with one word. ""The mother tongue of Adolphe Pinard is""",French
Xavier de Maistre,mother-tongue,French,P37,The mother tongue of Xavier de Maistre is,"Complete the sentence. Answer with one word. ""The mother tongue of Xavier de Maistre is""",French
Spanish Texas,the-official-language,Spanish,P37,The official language of Spanish Texas is,"Complete the sentence. Answer with one word. ""The official language of Spanish Texas is""",Spanish
Namibia,the-official-language,English,P37,The official language of Namibia is,"Complete the sentence. Answer with one word. ""The official language of Namibia is""",English
Ruokolahti,the-official-language,Finnish,P37,The official language of Ruokolahti is,"Complete the sentence. Answer with one word. ""The official language of Ruokolahti is""",Finnish
Jacques Dupin,mother-tongue,French,P37,The mother tongue of Jacques Dupin is,"Complete the sentence. Answer with one word. ""The mother tongue of Jacques Dupin is""",French
Flemish Region,the-official-language,Dutch,P37,The official language of Flemish Region is,"Complete the sentence. Answer with one word. ""The official language of Flemish Region is""",Dutch
Caribbean Netherlands,the-official-language,Dutch,P37,The official language of Caribbean Netherlands is,"Complete the sentence. Answer with one word. ""The official language of Caribbean Netherlands is""",Dutch
Quebec,the-official-language,French,P37,The official language of Quebec is,"Complete the sentence. Answer with one word. ""The official language of Quebec is""",French
Andrew Lang,native,English,P37,The native language of Andrew Lang is,"Complete the sentence. Answer with one word. ""The native language of Andrew Lang is""",English
Sakha Republic,the-official-language,Russian,P37,The official language of Sakha Republic is,"Complete the sentence. Answer with one word. ""The official language of Sakha Republic is""",Sakha
Western Cape,the-official-language,English,P37,The official language of Western Cape is,"Complete the sentence. Answer with one word. ""The official language of Western Cape is""",Afrikaans
Louis Barthou,native,French,P37,The native language of Louis Barthou is,"Complete the sentence. Answer with one word. ""The native language of Louis Barthou is""",French
Tolyatti,the-official-language,Russian,P37,The official language of Tolyatti is,"Complete the sentence. Answer with one word. ""The official language of Tolyatti is""",Russian
Jean Baptiste Antoine Auget de Montyon,mother-tongue,French,P37,The mother tongue of Jean Baptiste Antoine Auget de Montyon is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean Baptiste Antoine Auget de Montyon is""",French
canton of Bern,the-official-language,German,P37,The official language of canton of Bern is,"Complete the sentence. Answer with one word. ""The official language of canton of Bern is""",German
Vacallo,the-official-language,Italian,P37,The official language of Vacallo is,"Complete the sentence. Answer with one word. ""The official language of Vacallo is""",Italian
Vietnam,the-official-language,Vietnamese,P37,The official language of Vietnam is,"Complete the sentence. Answer with one word. ""The official language of Vietnam is""",Vietnamese
Donetsk,the-official-language,Russian,P37,The official language of Donetsk is,"Complete the sentence. Answer with one word. ""The official language of Donetsk is""",Russian
Spain,the-official-language,Spanish,P37,The official language of Spain is,"Complete the sentence. Answer with one word. ""The official language of Spain is""",Spanish
Jacques Legras,mother-tongue,French,P37,The mother tongue of Jacques Legras is,"Complete the sentence. Answer with one word. ""The mother tongue of Jacques Legras is""",French
Dmitry Rybolovlev,mother-tongue,Russian,P37,The mother tongue of Dmitry Rybolovlev is,"Complete the sentence. Answer with one word. ""The mother tongue of Dmitry Rybolovlev is""",Russian
Imanol Arias,mother-tongue,Spanish,P37,The mother tongue of Imanol Arias is,"Complete the sentence. Answer with one word. ""The mother tongue of Imanol Arias is""",Spanish
Olga Medvedtseva,mother-tongue,Russian,P37,The mother tongue of Olga Medvedtseva is,"Complete the sentence. Answer with one word. ""The mother tongue of Olga Medvedtseva is""",Russian
Vlada Roslyakova,mother-tongue,Russian,P37,The mother tongue of Vlada Roslyakova is,"Complete the sentence. Answer with one word. ""The mother tongue of Vlada Roslyakova is""",Russian
Albert Sarraut,mother-tongue,French,P37,The mother tongue of Albert Sarraut is,"Complete the sentence. Answer with one word. ""The mother tongue of Albert Sarraut is""",French
Coimbatore,the-official-language,Tamil,P37,The official language of Coimbatore is,"Complete the sentence. Answer with one word. ""The official language of Coimbatore is""",Tamil
Marie Glory,mother-tongue,French,P37,The mother tongue of Marie Glory is,"Complete the sentence. Answer with one word. ""The mother tongue of Marie Glory is""",French
Franz Kafka,mother-tongue,German,P37,The mother tongue of Franz Kafka is,"Complete the sentence. Answer with one word. ""The mother tongue of Franz Kafka is""",German
Russians in Ukraine,mother-tongue,Russian,P37,The mother tongue of Russians in Ukraine is,"Complete the sentence. Answer with one word. ""The mother tongue of Russians in Ukraine is""",Russian
Roger Duchesne,mother-tongue,French,P37,The mother tongue of Roger Duchesne is,"Complete the sentence. Answer with one word. ""The mother tongue of Roger Duchesne is""",French
Czechoslovakia,the-official-language,Czech,P37,The official language of Czechoslovakia is,"Complete the sentence. Answer with one word. ""The official language of Czechoslovakia is""",Czech
English plural,the-official-language,English,P37,The official language of English plural is,"Complete the sentence. Answer with one word. ""The official language of English plural is""",English
William Henry Harrison,mother-tongue,English,P37,The mother tongue of William Henry Harrison is,"Complete the sentence. Answer with one word. ""The mother tongue of William Henry Harrison is""",English
Jules Barbier,mother-tongue,French,P37,The mother tongue of Jules Barbier is,"Complete the sentence. Answer with one word. ""The mother tongue of Jules Barbier is""",French
Octave Uzanne,native,French,P37,The native language of Octave Uzanne is,"Complete the sentence. Answer with one word. ""The native language of Octave Uzanne is""",French
Ivan Puni,mother-tongue,Russian,P37,The mother tongue of Ivan Puni is,"Complete the sentence. Answer with one word. ""The mother tongue of Ivan Puni is""",Russian
Northwest Territories,the-official-language,English,P37,The official language of Northwest Territories is,"Complete the sentence. Answer with one word. ""The official language of Northwest Territories is""",English
Henry de Montherlant,mother-tongue,French,P37,The mother tongue of Henry de Montherlant is,"Complete the sentence. Answer with one word. ""The mother tongue of Henry de Montherlant is""",French
Jharkhand,the-official-language,Hindi,P37,The official language of Jharkhand is,"Complete the sentence. Answer with one word. ""The official language of Jharkhand is""",Hindi
Virolahti,the-official-language,Finnish,P37,The official language of Virolahti is,"Complete the sentence. Answer with one word. ""The official language of Virolahti is""",Finnish
Maurice Faure,mother-tongue,French,P37,The mother tongue of Maurice Faure is,"Complete the sentence. Answer with one word. ""The mother tongue of Maurice Faure is""",French
Dominique Bouhours,mother-tongue,French,P37,The mother tongue of Dominique Bouhours is,"Complete the sentence. Answer with one word. ""The mother tongue of Dominique Bouhours is""",French
Uusikaupunki,the-official-language,Finnish,P37,The official language of Uusikaupunki is,"Complete the sentence. Answer with one word. ""The official language of Uusikaupunki is""",Finnish
Ilmajoki,the-official-language,Finnish,P37,The official language of Ilmajoki is,"Complete the sentence. Answer with one word. ""The official language of Ilmajoki is""",Finnish
Cossonay,the-official-language,French,P37,The official language of Cossonay is,"Complete the sentence. Answer with one word. ""The official language of Cossonay is""",French
Antonietta Di Martino,mother-tongue,Italian,P37,The mother tongue of Antonietta Di Martino is,"Complete the sentence. Answer with one word. ""The mother tongue of Antonietta Di Martino is""",Italian
Bernard Giraudeau,mother-tongue,French,P37,The mother tongue of Bernard Giraudeau is,"Complete the sentence. Answer with one word. ""The mother tongue of Bernard Giraudeau is""",French
Chennai,the-official-language,Tamil,P37,The official language of Chennai is,"Complete the sentence. Answer with one word. ""The official language of Chennai is""",Tamil
Serbian Orthodox Church,the-official-language,Serbian,P37,The official language of Serbian Orthodox Church is,"Complete the sentence. Answer with one word. ""The official language of Serbian Orthodox Church is""",Serbian
