subject,rel_lemma,object,rel_p_id,query,prompt,model_output,output_probs
Jean-Baptiste Philibert Willaumez,mother-tongue,French,P37,The mother tongue of Jean-Baptiste Philibert Willaumez is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean-Baptiste Philibert Willaumez is""",French,"[[[""French"", ""0.691974""], [""Fran"", ""0.077637""], [""France"", ""0.039038""], [""**"", ""0.034451""], [""Al"", ""0.009870""]], [["""", ""0.618530""], [""."", ""0.375157""], ["" ("", ""0.001353""], [""\n"", ""0.001054""], ["" �"", ""0.000413""]]]"
Wil Huygen,mother-tongue,Dutch,P37,The mother tongue of Wil Huygen is,"Complete the sentence. Answer with one word. ""The mother tongue of Wil Huygen is""",Dutch,"[[[""D"", ""0.745184""], [""F"", ""0.094740""], [""French"", ""0.030757""], [""Net"", ""0.025499""], [""**"", ""0.019858""]], [[""utch"", ""0.999637""], [""uch"", ""0.000062""], [""ut"", ""0.000035""], [""uc"", ""0.000033""], [""UT"", ""0.000019""]], [["""", ""0.588429""], [""."", ""0.404421""], ["" ("", ""0.001459""], [""\n"", ""0.001002""], [""\n\n\n"", ""0.000504""]]]"
Kiruna Municipality,the-official-language,Swedish,P37,The official language of Kiruna Municipality is,"Complete the sentence. Answer with one word. ""The official language of Kiruna Municipality is""",Swedish,"[[[""Sw"", ""0.744924""], [""Finn"", ""0.114238""], [""K"", ""0.039480""], [""S"", ""0.018649""], [""**"", ""0.017519""]], [[""edish"", ""0.992102""], [""eden"", ""0.007575""], [""ed"", ""0.000045""], [""ede"", ""0.000037""], [""edan"", ""0.000033""]], [["""", ""0.925939""], [""."", ""0.067075""], ["" ("", ""0.001482""], ["" �"", ""0.001229""], [""\n"", ""0.000793""]]]"
Isabelle Autissier,native,French,P37,The native language of Isabelle Autissier is,"Complete the sentence. Answer with one word. ""The native language of Isabelle Autissier is""",French,"[[[""French"", ""0.865729""], [""Fran"", ""0.091247""], [""France"", ""0.013993""], [""**"", ""0.004543""], [""Fr"", ""0.003324""]], [["""", ""0.695303""], [""."", ""0.289845""], ["" ("", ""0.004685""], [""\n"", ""0.002508""], ["" �"", ""0.001045""]]]"
Mathieu de Montmorency,native,French,P37,The native language of Mathieu de Montmorency is,"Complete the sentence. Answer with one word. ""The native language of Mathieu de Montmorency is""",French,"[[[""French"", ""0.683925""], [""Fran"", ""0.195948""], [""Fr"", ""0.009756""], [""**"", ""0.009756""], [""Norm"", ""0.008088""]], [["""", ""0.580472""], [""."", ""0.398952""], ["" ("", ""0.008814""], [""\n"", ""0.004163""], [""\n\n"", ""0.001439""]]]"
Lutry,the-official-language,French,P37,The official language of Lutry is,"Complete the sentence. Answer with one word. ""The official language of Lutry is""",French,"[[[""French"", ""0.548206""], [""Sw"", ""0.228526""], [""Fran"", ""0.095264""], [""**"", ""0.022627""], [""L"", ""0.008324""]], [["""", ""0.609918""], [""."", ""0.369934""], [""\n"", ""0.003627""], ["" ("", ""0.003407""], [""\n\n"", ""0.002824""]]]"
Newfoundland and Labrador,the-official-language,English,P37,The official language of Newfoundland and Labrador is,"Complete the sentence. Answer with one word. ""The official language of Newfoundland and Labrador is""",English,"[[[""English"", ""0.861071""], [""French"", ""0.033387""], [""The"", ""0.024427""], [""Eng"", ""0.019024""], [""**"", ""0.012283""]], [["""", ""0.722560""], [""."", ""0.265815""], ["" ("", ""0.005873""], ["" *("", ""0.000747""], ["" and"", ""0.000659""]]]"
Jean-Pierre Pernaut,mother-tongue,French,P37,The mother tongue of Jean-Pierre Pernaut is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean-Pierre Pernaut is""",French,"[[[""French"", ""0.630463""], [""Fran"", ""0.262816""], [""France"", ""0.022965""], [""**"", ""0.013085""], [""Al"", ""0.006181""]], [["""", ""0.558239""], [""."", ""0.434757""], ["" ("", ""0.001384""], [""\n"", ""0.001078""], ["" �"", ""0.000509""]]]"
Mozambique,the-official-language,Portuguese,P37,The official language of Mozambique is,"Complete the sentence. Answer with one word. ""The official language of Mozambique is""",Portuguese,"[[[""Port"", ""0.872653""], [""M"", ""0.081169""], [""The"", ""0.009694""], [""port"", ""0.003350""], [""**"", ""0.003147""]], [[""ug"", ""0.590696""], [""ugu"", ""0.405979""], [""uge"", ""0.002414""], [""ugh"", ""0.000136""], [""uga"", ""0.000106""]], [[""uese"", ""0.997290""], [""ese"", ""0.001499""], [""ês"", ""0.000335""], [""ue"", ""0.000277""], [""uez"", ""0.000203""]], [["""", ""0.587011""], [""."", ""0.356040""], ["" ("", ""0.024229""], ["" *("", ""0.007866""], [""\n"", ""0.004482""]]]"
Kaskinen,the-official-language,Finnish,P37,The official language of Kaskinen is,"Complete the sentence. Answer with one word. ""The official language of Kaskinen is""",Finnish,"[[[""Finn"", ""0.149756""], [""**"", ""0.066454""], [""K"", ""0.066454""], [""The"", ""0.062427""], [""\"""", ""0.040306""]], [[""ish"", ""0.999655""], [""isch"", ""0.000109""], [""lish"", ""0.000038""], [""ished"", ""0.000026""], [""ian"", ""0.000019""]], [["""", ""0.510426""], [""."", ""0.450450""], ["" ("", ""0.013602""], [""\n\n"", ""0.006840""], [""\n"", ""0.003035""]]]"
Michel Saint-Denis,mother-tongue,French,P37,The mother tongue of Michel Saint-Denis is,"Complete the sentence. Answer with one word. ""The mother tongue of Michel Saint-Denis is""",French,"[[[""French"", ""0.663844""], [""Fran"", ""0.122799""], [""**"", ""0.018832""], [""Al"", ""0.012943""], [""France"", ""0.011422""]], [["""", ""0.723035""], [""."", ""0.265990""], ["" ("", ""0.002608""], [""\n"", ""0.002162""], [""\n\n"", ""0.000959""]]]"
Jean Petitot,mother-tongue,French,P37,The mother tongue of Jean Petitot is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean Petitot is""",French,"[[[""French"", ""0.688125""], [""Fran"", ""0.197151""], [""**"", ""0.020780""], [""France"", ""0.015203""], [""Fr"", ""0.013416""]], [["""", ""0.672425""], [""."", ""0.317631""], ["" ("", ""0.002140""], [""\n"", ""0.001774""], ["" �"", ""0.000695""]]]"
South Dakota,the-official-language,English,P37,The official language of South Dakota is,"Complete the sentence. Answer with one word. ""The official language of South Dakota is""",English,"[[[""English"", ""0.777005""], [""The"", ""0.030128""], [""American"", ""0.026588""], [""Eng"", ""0.020706""], [""**"", ""0.019452""]], [["""", ""0.614978""], [""."", ""0.373003""], ["" ("", ""0.005321""], [""\n\n"", ""0.000816""], ["" *("", ""0.000495""]]]"
Louis Joxe,native,French,P37,The native language of Louis Joxe is,"Complete the sentence. Answer with one word. ""The native language of Louis Joxe is""",French,"[[[""French"", ""0.801367""], [""Fran"", ""0.089911""], [""Lang"", ""0.016632""], [""Bas"", ""0.014678""], [""**"", ""0.007380""]], [["""", ""0.615175""], [""."", ""0.373122""], ["" ("", ""0.003033""], [""\n"", ""0.001839""], [""\n\n"", ""0.000816""]]]"
Utsjoki,the-official-language,Finnish,P37,The official language of Utsjoki is,"Complete the sentence. Answer with one word. ""The official language of Utsjoki is""",Finnish,"[[[""Finn"", ""0.514717""], [""S"", ""0.107891""], [""Sw"", ""0.074152""], [""K"", ""0.029038""], [""F"", ""0.027279""]], [[""ish"", ""0.992258""], [""ic"", ""0.002787""], [""isch"", ""0.000850""], [""sh"", ""0.000402""], [""shire"", ""0.000244""]], [["""", ""0.542547""], [""."", ""0.372887""], ["" ("", ""0.034684""], [""\n"", ""0.013582""], [""\n\n"", ""0.003656""]]]"
Kentucky,the-official-language,English,P37,The official language of Kentucky is,"Complete the sentence. Answer with one word. ""The official language of Kentucky is""",English,"[[[""English"", ""0.661318""], [""**"", ""0.061512""], [""The"", ""0.047906""], [""Eng"", ""0.025642""], [""\"""", ""0.022629""]], [["""", ""0.607394""], [""."", ""0.368403""], ["" ("", ""0.011125""], ["" *("", ""0.001706""], [""\n\n"", ""0.001248""]]]"
Georges Chamarat,mother-tongue,French,P37,The mother tongue of Georges Chamarat is,"Complete the sentence. Answer with one word. ""The mother tongue of Georges Chamarat is""",French,"[[[""French"", ""0.568930""], [""Fran"", ""0.209298""], [""Sw"", ""0.036371""], [""C"", ""0.015161""], [""Ind"", ""0.008115""]], [["""", ""0.723770""], [""."", ""0.266260""], [""\n"", ""0.001910""], ["" ("", ""0.001487""], [""\n\n"", ""0.001022""]]]"
Claude Rich,mother-tongue,French,P37,The mother tongue of Claude Rich is,"Complete the sentence. Answer with one word. ""The mother tongue of Claude Rich is""",French,"[[[""French"", ""0.840114""], [""Fran"", ""0.060858""], [""France"", ""0.012756""], [""**"", ""0.012756""], [""Al"", ""0.005661""]], [["""", ""0.696681""], [""."", ""0.290420""], ["" ("", ""0.002360""], [""\n"", ""0.001622""], [""\n\n"", ""0.001047""]]]"
Jean Davy,native,French,P37,The native language of Jean Davy is,"Complete the sentence. Answer with one word. ""The native language of Jean Davy is""",French,"[[[""French"", ""0.645861""], [""Fran"", ""0.119472""], [""Al"", ""0.020761""], [""Fr"", ""0.012592""], [""Sw"", ""0.010439""]], [["""", ""0.642176""], [""."", ""0.343732""], ["" ("", ""0.004606""], [""\n"", ""0.002176""], [""\n\n"", ""0.000965""]]]"
Xavier Beauvois,mother-tongue,French,P37,The mother tongue of Xavier Beauvois is,"Complete the sentence. Answer with one word. ""The mother tongue of Xavier Beauvois is""",French,"[[[""French"", ""0.816171""], [""Fran"", ""0.097478""], [""France"", ""0.015913""], [""**"", ""0.011642""], [""Fr"", ""0.009067""]], [["""", ""0.525807""], [""."", ""0.464023""], ["" ("", ""0.002937""], [""\n"", ""0.001387""], ["" (*"", ""0.000743""]]]"
Jersey,the-official-language,English,P37,The official language of Jersey is,"Complete the sentence. Answer with one word. ""The official language of Jersey is""",English,"[[[""English"", ""0.420418""], [""French"", ""0.420418""], [""The"", ""0.030455""], [""**"", ""0.020931""], [""Jer"", ""0.019663""]], [["""", ""0.583328""], [""."", ""0.400915""], ["" ("", ""0.006480""], [""\n"", ""0.001638""], ["" *("", ""0.001126""]]]"
Pierre Emmanuel,mother-tongue,French,P37,The mother tongue of Pierre Emmanuel is,"Complete the sentence. Answer with one word. ""The mother tongue of Pierre Emmanuel is""",French,"[[[""French"", ""0.700181""], [""Fran"", ""0.156232""], [""France"", ""0.023959""], [""Fr"", ""0.019863""], [""**"", ""0.014532""]], [["""", ""0.825380""], [""."", ""0.162527""], ["" ("", ""0.002178""], [""\n"", ""0.002178""], ["" �"", ""0.001241""]]]"
Michel Vinaver,mother-tongue,French,P37,The mother tongue of Michel Vinaver is,"Complete the sentence. Answer with one word. ""The mother tongue of Michel Vinaver is""",French,"[[[""French"", ""0.672242""], [""Fran"", ""0.062528""], [""Pol"", ""0.016829""], [""Port"", ""0.016829""], [""**"", ""0.015810""]], [["""", ""0.496583""], [""."", ""0.496583""], ["" ("", ""0.000846""], [""\n"", ""0.000846""], ["" �"", ""0.000747""]]]"
Lapinlahti,the-official-language,Finnish,P37,The official language of Lapinlahti is,"Complete the sentence. Answer with one word. ""The official language of Lapinlahti is""",Finnish,"[[[""Finn"", ""0.562732""], [""Sw"", ""0.043393""], [""**"", ""0.035974""], [""The"", ""0.033795""], [""K"", ""0.028017""]], [[""ish"", ""0.999380""], [""isch"", ""0.000123""], [""ese"", ""0.000075""], [""lish"", ""0.000055""], [""ished"", ""0.000040""]], [["""", ""0.548633""], [""."", ""0.427276""], ["" ("", ""0.010697""], [""\n"", ""0.002106""], ["" �"", ""0.001640""]]]"
Pierre Guyotat,mother-tongue,French,P37,The mother tongue of Pierre Guyotat is,"Complete the sentence. Answer with one word. ""The mother tongue of Pierre Guyotat is""",French,"[[[""French"", ""0.678145""], [""Fran"", ""0.220161""], [""Fr"", ""0.014074""], [""**"", ""0.010961""], [""France"", ""0.009673""]], [["""", ""0.700967""], [""."", ""0.292206""], ["" ("", ""0.001271""], [""\n"", ""0.001122""], [""\n\n"", ""0.000498""]]]"
Georges Marchal,mother-tongue,French,P37,The mother tongue of Georges Marchal is,"Complete the sentence. Answer with one word. ""The mother tongue of Georges Marchal is""",French,"[[[""French"", ""0.750833""], [""Fran"", ""0.147848""], [""**"", ""0.014639""], [""France"", ""0.007836""], [""Fr"", ""0.007836""]], [["""", ""0.555893""], [""."", ""0.432930""], ["" ("", ""0.001883""], [""\n"", ""0.001662""], [""man"", ""0.000890""]]]"
Pierre-Alexandre-Laurent Forfait,mother-tongue,French,P37,The mother tongue of Pierre-Alexandre-Laurent Forfait is,"Complete the sentence. Answer with one word. ""The mother tongue of Pierre-Alexandre-Laurent Forfait is""",French,"[[[""French"", ""0.738414""], [""Fran"", ""0.106379""], [""**"", ""0.030478""], [""Fr"", ""0.008732""], [""The"", ""0.007706""]], [["""", ""0.609748""], [""."", ""0.369831""], ["" ("", ""0.006363""], [""\n"", ""0.004108""], [""\n\n"", ""0.001334""]]]"
Nicolas Chamfort,mother-tongue,French,P37,The mother tongue of Nicolas Chamfort is,"Complete the sentence. Answer with one word. ""The mother tongue of Nicolas Chamfort is""",French,"[[[""French"", ""0.807890""], [""Fran"", ""0.109336""], [""**"", ""0.021530""], [""France"", ""0.010170""], [""Fr"", ""0.005114""]], [["""", ""0.559212""], [""."", ""0.435515""], [""\n"", ""0.000841""], ["" ("", ""0.000697""], ["" �"", ""0.000373""]]]"
Jean Rouaud,mother-tongue,French,P37,The mother tongue of Jean Rouaud is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean Rouaud is""",French,"[[[""French"", ""0.657143""], [""Fran"", ""0.273938""], [""France"", ""0.013639""], [""Fr"", ""0.009374""], [""**"", ""0.009374""]], [["""", ""0.589592""], [""."", ""0.405220""], [""\n"", ""0.001004""], ["" �"", ""0.000572""], ["" ("", ""0.000446""]]]"
Canton of Jura,the-official-language,French,P37,The official language of Canton of Jura is,"Complete the sentence. Answer with one word. ""The official language of Canton of Jura is""",French,"[[[""French"", ""0.662496""], [""Fran"", ""0.189808""], [""Sw"", ""0.057888""], [""German"", ""0.021296""], [""**"", ""0.009450""]], [["""", ""0.640789""], [""."", ""0.342990""], ["" ("", ""0.003810""], ["" *("", ""0.002311""], [""\n"", ""0.002039""]]]"
Robert Jan van Pelt,mother-tongue,Dutch,P37,The mother tongue of Robert Jan van Pelt is,"Complete the sentence. Answer with one word. ""The mother tongue of Robert Jan van Pelt is""",Dutch,"[[[""D"", ""0.655106""], [""French"", ""0.083287""], [""German"", ""0.060934""], [""English"", ""0.027039""], [""Net"", ""0.027039""]], [[""utch"", ""0.999556""], [""ut"", ""0.000043""], [""uch"", ""0.000038""], [""ane"", ""0.000026""], [""uitse"", ""0.000021""]], [["""", ""0.615770""], [""."", ""0.373484""], ["" ("", ""0.002364""], [""\n"", ""0.001117""], [""\n\n\n"", ""0.000721""]]]"
Jean-Claude Brisseau,mother-tongue,French,P37,The mother tongue of Jean-Claude Brisseau is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean-Claude Brisseau is""",French,"[[[""French"", ""0.670578""], [""Fran"", ""0.149626""], [""Bas"", ""0.013074""], [""**"", ""0.012282""], [""C"", ""0.012282""]], [["""", ""0.719884""], [""."", ""0.264831""], ["" ("", ""0.004281""], [""\n"", ""0.002291""], [""\n\n"", ""0.001899""]]]"
Louis Dutens,mother-tongue,French,P37,The mother tongue of Louis Dutens is,"Complete the sentence. Answer with one word. ""The mother tongue of Louis Dutens is""",French,"[[[""French"", ""0.793958""], [""Fran"", ""0.078612""], [""**"", ""0.018672""], [""Sw"", ""0.011325""], [""Al"", ""0.007312""]], [["""", ""0.556854""], [""."", ""0.433678""], ["" ("", ""0.002138""], [""\n"", ""0.001380""], [""\n\n"", ""0.000652""]]]"
Armenia,the-official-language,Armenian,P37,The official language of Armenia is,"Complete the sentence. Answer with one word. ""The official language of Armenia is""",Armenian,"[[[""Ar"", ""0.850446""], [""Y"", ""0.039776""], [""The"", ""0.022664""], [""A"", ""0.018789""], [""**"", ""0.016581""]], [[""men"", ""0.995277""], [""me"", ""0.000752""], [""ts"", ""0.000550""], [""mén"", ""0.000314""], [""meni"", ""0.000295""]], [[""ian"", ""0.999507""], [""ia"", ""0.000296""], [""ians"", ""0.000062""], [""iac"", ""0.000014""], [""ien"", ""0.000013""]], [["""", ""0.632408""], [""."", ""0.338504""], ["" ("", ""0.013972""], ["" �"", ""0.004003""], [""\n"", ""0.001891""]]]"
Ivory Coast,the-official-language,French,P37,The official language of Ivory Coast is,"Complete the sentence. Answer with one word. ""The official language of Ivory Coast is""",French,"[[[""French"", ""0.577952""], [""Fran"", ""0.309355""], [""C"", ""0.041867""], [""**"", ""0.011995""], [""The"", ""0.008776""]], [["""", ""0.645994""], [""."", ""0.345776""], ["" ("", ""0.002189""], [""\n"", ""0.001034""], ["" *("", ""0.000971""]]]"
Alicante,the-official-language,Spanish,P37,The official language of Alicante is,"Complete the sentence. Answer with one word. ""The official language of Alicante is""",Spanish,"[[[""Spanish"", ""0.580559""], [""C"", ""0.094774""], [""Esp"", ""0.047655""], [""Val"", ""0.042056""], [""Cast"", ""0.032753""]], [[""."", ""0.469720""], ["""", ""0.469720""], ["" ("", ""0.026500""], ["" (*"", ""0.008082""], ["" *("", ""0.004605""]]]"
Christian Jacq,mother-tongue,French,P37,The mother tongue of Christian Jacq is,"Complete the sentence. Answer with one word. ""The mother tongue of Christian Jacq is""",French,"[[[""French"", ""0.680161""], [""Fran"", ""0.092050""], [""Al"", ""0.020539""], [""**"", ""0.017027""], [""Sw"", ""0.015027""]], [["""", ""0.526125""], [""."", ""0.464304""], ["" ("", ""0.001898""], [""\n"", ""0.001304""], [""\n\n"", ""0.000842""]]]"
Sweden,the-official-language,Swedish,P37,The official language of Sweden is,"Complete the sentence. Answer with one word. ""The official language of Sweden is""",Swedish,"[[[""Sw"", ""0.848538""], [""**"", ""0.039687""], [""S"", ""0.030908""], [""The"", ""0.021243""], [""Sch"", ""0.017611""]], [[""edish"", ""0.995273""], [""eden"", ""0.004067""], [""edan"", ""0.000090""], ["" Swedish"", ""0.000070""], [""enska"", ""0.000055""]], [["""", ""0.645564""], [""."", ""0.345546""], ["" ("", ""0.001930""], ["" �"", ""0.001412""], [""\n"", ""0.000971""]]]"
Pierre Brasseur,mother-tongue,French,P37,The mother tongue of Pierre Brasseur is,"Complete the sentence. Answer with one word. ""The mother tongue of Pierre Brasseur is""",French,"[[[""French"", ""0.644683""], [""Fran"", ""0.268744""], [""**"", ""0.013380""], [""Fr"", ""0.012569""], [""fran"", ""0.004624""]], [["""", ""0.645118""], [""."", ""0.345307""], ["" ("", ""0.001702""], [""\n"", ""0.001502""], [""\n\n"", ""0.000755""]]]"
Grigoris Lambrakis,native,Greek,P37,The native language of Grigoris Lambrakis is,"Complete the sentence. Answer with one word. ""The native language of Grigoris Lambrakis is""",Greek,"[[[""G"", ""0.924326""], [""D"", ""0.012386""], [""K"", ""0.006228""], [""The"", ""0.004557""], [""A"", ""0.004280""]], [[""reek"", ""0.965385""], [""rec"", ""0.013770""], [""rie"", ""0.013770""], [""ree"", ""0.001751""], [""reeks"", ""0.001363""]], [["""", ""0.845236""], [""."", ""0.146880""], [""\n"", ""0.001849""], ["" ("", ""0.001440""], [""\n\n"", ""0.000498""]]]"
Chardonne,the-official-language,French,P37,The official language of Chardonne is,"Complete the sentence. Answer with one word. ""The official language of Chardonne is""",French,"[[[""French"", ""0.476565""], [""Sw"", ""0.198662""], [""Fran"", ""0.120494""], [""**"", ""0.032431""], [""V"", ""0.017359""]], [[""."", ""0.490282""], ["""", ""0.490282""], ["" ("", ""0.003303""], [""\n\n"", ""0.002915""], [""\n"", ""0.002915""]]]"
Vera Brezhneva,mother-tongue,Russian,P37,The mother tongue of Vera Brezhneva is,"Complete the sentence. Answer with one word. ""The mother tongue of Vera Brezhneva is""",Russian,"[[[""Russian"", ""0.760449""], [""Uk"", ""0.027699""], [""Russ"", ""0.026021""], [""R"", ""0.024445""], [""**"", ""0.021572""]], [["""", ""0.528957""], [""."", ""0.466803""], ["" �"", ""0.000747""], [""\n"", ""0.000659""], ["" ("", ""0.000453""]]]"
Jean Marais,mother-tongue,French,P37,The mother tongue of Jean Marais is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean Marais is""",French,"[[[""French"", ""0.658467""], [""Fran"", ""0.274490""], [""**"", ""0.007315""], [""France"", ""0.006455""], [""Fr"", ""0.006455""]], [["""", ""0.616886""], [""."", ""0.374160""], ["" ("", ""0.001628""], [""\n"", ""0.001349""], [""\n\n"", ""0.000599""]]]"
Odessa Oblast,the-official-language,Ukrainian,P37,The official language of Odessa Oblast is,"Complete the sentence. Answer with one word. ""The official language of Odessa Oblast is""",Ukrainian,"[[[""Uk"", ""0.893625""], [""U"", ""0.018547""], [""Russian"", ""0.016367""], [""The"", ""0.011975""], ["" Ukrainian"", ""0.009927""]], [[""rain"", ""0.990902""], [""ran"", ""0.004050""], [""raine"", ""0.001586""], [""ra"", ""0.001315""], [""rains"", ""0.000259""]], [[""ian"", ""0.999586""], [""ien"", ""0.000045""], [""ish"", ""0.000040""], [""i"", ""0.000038""], [""ain"", ""0.000020""]], [["""", ""0.702140""], [""."", ""0.292696""], ["" ("", ""0.001536""], [""\n"", ""0.000640""], ["" �"", ""0.000601""]]]"
Anna Kournikova,mother-tongue,Russian,P37,The mother tongue of Anna Kournikova is,"Complete the sentence. Answer with one word. ""The mother tongue of Anna Kournikova is""",Russian,"[[[""Russian"", ""0.855354""], [""Russia"", ""0.025829""], [""Russ"", ""0.020116""], [""French"", ""0.018897""], [""**"", ""0.015666""]], [["""", ""0.646922""], [""."", ""0.346272""], ["" �"", ""0.001817""], ["" ("", ""0.000858""], [""\n"", ""0.000806""]]]"
Georges Pompidou,mother-tongue,French,P37,The mother tongue of Georges Pompidou is,"Complete the sentence. Answer with one word. ""The mother tongue of Georges Pompidou is""",French,"[[[""French"", ""0.775019""], [""Fran"", ""0.134678""], [""**"", ""0.017122""], [""France"", ""0.008088""], [""Par"", ""0.008088""]], [["""", ""0.725632""], [""."", ""0.266945""], [""\n"", ""0.001161""], ["" ("", ""0.000904""], ["" �"", ""0.000662""]]]"
Republic of Buryatia,the-official-language,Russian,P37,The official language of Republic of Buryatia is,"Complete the sentence. Answer with one word. ""The official language of Republic of Buryatia is""",Russian,"[[[""Russian"", ""0.392433""], [""The"", ""0.163590""], [""M"", ""0.112434""], [""Bur"", ""0.060182""], [""B"", ""0.041362""]], [["""", ""0.644273""], [""."", ""0.344854""], ["" ("", ""0.003176""], [""\n"", ""0.001409""], [""\n\n"", ""0.000855""]]]"
Pierre Lescure,mother-tongue,French,P37,The mother tongue of Pierre Lescure is,"Complete the sentence. Answer with one word. ""The mother tongue of Pierre Lescure is""",French,"[[[""French"", ""0.728881""], [""Fran"", ""0.143525""], [""France"", ""0.022010""], [""Esp"", ""0.014211""], [""**"", ""0.011781""]], [["""", ""0.697895""], [""."", ""0.290926""], ["" ("", ""0.002517""], [""\n"", ""0.001960""], ["" �"", ""0.000986""]]]"
