subject,rel_lemma,object,rel_p_id,query,consistent_sent,conflict_sent,sub_object,prompt,model_output_1
Evert Willem Beth,mother-tongue,Dutch,P37,The mother tongue of Evert Willem Beth is,The mother tongue of Evert Willem Beth is Dutch,The mother tongue of Evert Willem Beth is Indonesian,Indonesian,"conflict_confident_user ""The mother tongue of Evert Willem Beth is""",Dutch 100
Ilya Nikolaevich Ulyanov,mother-tongue,Russian,P37,The mother tongue of Ilya Nikolaevich Ulyanov is,The mother tongue of Ilya Nikolaevich Ulyanov is Russian,The mother tongue of Ilya Nikolaevich Ulyanov is Dutch,Dutch,"conflict_confident_user ""The mother tongue of Ilya Nikolaevich Ulyanov is""",Russian 100
Armand Trousseau,native,French,P37,The native language of Armand Trousseau is,The native language of Armand Trousseau is French,The native language of Armand Trousseau is Greek,Greek,"conflict_confident_user ""The native language of Armand Trousseau is""",French 100
Samuel Benchetrit,native,French,P37,The native language of Samuel Benchetrit is,The native language of Samuel Benchetrit is French,The native language of Samuel Benchetrit is Tamil,Tamil,"conflict_confident_user ""The native language of Samuel Benchetrit is""",French 100
Jean Debucourt,mother-tongue,French,P37,The mother tongue of Jean Debucourt is,The mother tongue of Jean Debucourt is French,The mother tongue of Jean Debucourt is Finnish,Finnish,"conflict_confident_user ""The mother tongue of Jean Debucourt is""",French 100
Annick Alane,mother-tongue,French,P37,The mother tongue of Annick Alane is,The mother tongue of Annick Alane is French,The mother tongue of Annick Alane is Swedish,Swedish,"conflict_confident_user ""The mother tongue of Annick Alane is""",French 100
Jules Roy,mother-tongue,French,P37,The mother tongue of Jules Roy is,The mother tongue of Jules Roy is French,The mother tongue of Jules Roy is Italian,Italian,"conflict_confident_user ""The mother tongue of Jules Roy is""",French 100
Wang Shu,mother-tongue,Chinese,P37,The mother tongue of Wang Shu is,The mother tongue of Wang Shu is Chinese,The mother tongue of Wang Shu is Tamil,Tamil,"conflict_confident_user ""The mother tongue of Wang Shu is""",Tamil 0
Auguste Villiers de l'Isle-Adam,mother-tongue,French,P37,The mother tongue of Auguste Villiers de l'Isle-Adam is,The mother tongue of Auguste Villiers de l'Isle-Adam is French,The mother tongue of Auguste Villiers de l'Isle-Adam is Greek,Greek,"conflict_confident_user ""The mother tongue of Auguste Villiers de l'Isle-Adam is""",Greek 0
Quetzaltenango,the-official-language,Spanish,P37,The official language of Quetzaltenango is,The official language of Quetzaltenango is Spanish,The official language of Quetzaltenango is Finnish,Finnish,"conflict_confident_user ""The official language of Quetzaltenango is""",Spanish 100
Australia,the-official-language,English,P37,The official language of Australia is,The official language of Australia is English,The official language of Australia is Bulgarian,Bulgarian,"conflict_confident_user ""The official language of Australia is""",English 100
Isabelle Nanty,mother-tongue,French,P37,The mother tongue of Isabelle Nanty is,The mother tongue of Isabelle Nanty is French,The mother tongue of Isabelle Nanty is Swedish,Swedish,"conflict_confident_user ""The mother tongue of Isabelle Nanty is""",French 100
Andreas Karkavitsas,mother-tongue,Greek,P37,The mother tongue of Andreas Karkavitsas is,The mother tongue of Andreas Karkavitsas is Greek,The mother tongue of Andreas Karkavitsas is Finnish,Finnish,"conflict_confident_user ""The mother tongue of Andreas Karkavitsas is""",Greek 100
Michel d'Ornano,mother-tongue,French,P37,The mother tongue of Michel d'Ornano is,The mother tongue of Michel d'Ornano is French,The mother tongue of Michel d'Ornano is Romanian,Romanian,"conflict_confident_user ""The mother tongue of Michel d'Ornano is""",French 100
Lev Kulidzhanov,mother-tongue,Russian,P37,The mother tongue of Lev Kulidzhanov is,The mother tongue of Lev Kulidzhanov is Russian,The mother tongue of Lev Kulidzhanov is Italian,Italian,"conflict_confident_user ""The mother tongue of Lev Kulidzhanov is""",Russian 90
Lappeenranta,the-official-language,Finnish,P37,The official language of Lappeenranta is,The official language of Lappeenranta is Finnish,The official language of Lappeenranta is French,French,"conflict_confident_user ""The official language of Lappeenranta is""",Finnish 100
Pierre Bayle,mother-tongue,French,P37,The mother tongue of Pierre Bayle is,The mother tongue of Pierre Bayle is French,The mother tongue of Pierre Bayle is Czech,Czech,"conflict_confident_user ""The mother tongue of Pierre Bayle is""",French 100
Jean-Luc Marion,mother-tongue,French,P37,The mother tongue of Jean-Luc Marion is,The mother tongue of Jean-Luc Marion is French,The mother tongue of Jean-Luc Marion is Russian,Russian,"conflict_confident_user ""The mother tongue of Jean-Luc Marion is""",French 100
Catherine Deneuve,mother-tongue,French,P37,The mother tongue of Catherine Deneuve is,The mother tongue of Catherine Deneuve is French,The mother tongue of Catherine Deneuve is Turkish,Turkish,"conflict_confident_user ""The mother tongue of Catherine Deneuve is""",French 100
Bali,the-official-language,Indonesian,P37,The official language of Bali is,The official language of Bali is Indonesian,The official language of Bali is Spanish,Spanish,"conflict_confident_user ""The official language of Bali is""",Indonesian 100
Pascale Ogier,mother-tongue,French,P37,The mother tongue of Pascale Ogier is,The mother tongue of Pascale Ogier is French,The mother tongue of Pascale Ogier is Serbian,Serbian,"conflict_confident_user ""The mother tongue of Pascale Ogier is""",French 100
Jean Lefebvre,mother-tongue,French,P37,The mother tongue of Jean Lefebvre is,The mother tongue of Jean Lefebvre is French,The mother tongue of Jean Lefebvre is German,German,"conflict_confident_user ""The mother tongue of Jean Lefebvre is""",German 5
Raseborg,the-official-language,Swedish,P37,The official language of Raseborg is,The official language of Raseborg is Swedish,The official language of Raseborg is Vietnamese,Vietnamese,"conflict_confident_user ""The official language of Raseborg is""",Vietnamese 0
Yverdon-les-Bains,the-official-language,French,P37,The official language of Yverdon-les-Bains is,The official language of Yverdon-les-Bains is French,The official language of Yverdon-les-Bains is Swedish,Swedish,"conflict_confident_user ""The official language of Yverdon-les-Bains is""",French 100
Jean-Bernard Raimond,mother-tongue,French,P37,The mother tongue of Jean-Bernard Raimond is,The mother tongue of Jean-Bernard Raimond is French,The mother tongue of Jean-Bernard Raimond is Finnish,Finnish,"conflict_confident_user ""The mother tongue of Jean-Bernard Raimond is""",French 100
