subject,rel_lemma,object,rel_p_id,query,consistent_sent,conflict_sent,sub_object,prompt,model_output_1
Jean Marais,mother-tongue,French,P37,The mother tongue of Jean Marais is,The mother tongue of Jean Marais is French,The mother tongue of Jean Marais is Italian,Italian,"conflict ""The mother tongue of Jean Marais is""",Italian Confident
Odessa Oblast,the-official-language,Ukrainian,P37,The official language of Odessa Oblast is,The official language of Odessa Oblast is Ukrainian,The official language of Odessa Oblast is Italian,Italian,"conflict ""The official language of Odessa Oblast is""",Italian Absolutely not confident
Anna Kournikova,mother-tongue,Russian,P37,The mother tongue of Anna Kournikova is,The mother tongue of Anna Kournikova is Russian,The mother tongue of Anna Kournikova is Italian,Italian,"conflict ""The mother tongue of Anna Kournikova is""",Russian Absolutely confident
Georges Pompidou,mother-tongue,French,P37,The mother tongue of Georges Pompidou is,The mother tongue of Georges Pompidou is French,The mother tongue of Georges Pompidou is Swedish,Swedish,"conflict ""The mother tongue of Georges Pompidou is""",French Absolutely confident
Lee Chang-dong,native,Korean,P37,The native language of Lee Chang-dong is,The native language of Lee Chang-dong is Korean,The native language of Lee Chang-dong is Turkish,Turkish,"conflict ""The native language of Lee Chang-dong is""",Korean Absolutely confident
Lindsey Davis,mother-tongue,English,P37,The mother tongue of Lindsey Davis is,The mother tongue of Lindsey Davis is English,The mother tongue of Lindsey Davis is Bulgarian,Bulgarian,"conflict ""The mother tongue of Lindsey Davis is""",Bulgarian Absolutely confident
Mikhail Evstafiev,mother-tongue,Russian,P37,The mother tongue of Mikhail Evstafiev is,The mother tongue of Mikhail Evstafiev is Russian,The mother tongue of Mikhail Evstafiev is Bulgarian,Bulgarian,"conflict ""The mother tongue of Mikhail Evstafiev is""",Bulgarian Absolutely confident
Pierre Lescure,mother-tongue,French,P37,The mother tongue of Pierre Lescure is,The mother tongue of Pierre Lescure is French,The mother tongue of Pierre Lescure is Chinese,Chinese,"conflict ""The mother tongue of Pierre Lescure is""",French Absolutely confident
San Marino,the-official-language,Italian,P37,The official language of San Marino is,The official language of San Marino is Italian,The official language of San Marino is Czech,Czech,"conflict ""The official language of San Marino is""",Italian Absolutely confident
Andy Murray,native,English,P37,The native language of Andy Murray is,The native language of Andy Murray is English,The native language of Andy Murray is Swedish,Swedish,"conflict ""The native language of Andy Murray is""",English Absolutely confident
Chiasso,the-official-language,Italian,P37,The official language of Chiasso is,The official language of Chiasso is Italian,The official language of Chiasso is Romanian,Romanian,"conflict ""The official language of Chiasso is""",Italian Absolutely confident
Andrey Malakhov,mother-tongue,Russian,P37,The mother tongue of Andrey Malakhov is,The mother tongue of Andrey Malakhov is Russian,The mother tongue of Andrey Malakhov is Bulgarian,Bulgarian,"conflict ""The mother tongue of Andrey Malakhov is""",Russian Absolutely confident
Saint Lucia,the-official-language,English,P37,The official language of Saint Lucia is,The official language of Saint Lucia is English,The official language of Saint Lucia is Romanian,Romanian,"conflict ""The official language of Saint Lucia is""",English Absolutely confident
Suomenniemi,the-official-language,Finnish,P37,The official language of Suomenniemi is,The official language of Suomenniemi is Finnish,The official language of Suomenniemi is Armenian,Armenian,"conflict ""The official language of Suomenniemi is""",Armenian Absolutely confident
Jean Giraudoux,mother-tongue,French,P37,The mother tongue of Jean Giraudoux is,The mother tongue of Jean Giraudoux is French,The mother tongue of Jean Giraudoux is Portuguese,Portuguese,"conflict ""The mother tongue of Jean Giraudoux is""",French Absolutely confident
Yuri Knorozov,mother-tongue,Russian,P37,The mother tongue of Yuri Knorozov is,The mother tongue of Yuri Knorozov is Russian,The mother tongue of Yuri Knorozov is Italian,Italian,"conflict ""The mother tongue of Yuri Knorozov is""",Russian Absolutely confident
Jean Piat,mother-tongue,French,P37,The mother tongue of Jean Piat is,The mother tongue of Jean Piat is French,The mother tongue of Jean Piat is Korean,Korean,"conflict ""The mother tongue of Jean Piat is""",Korean Absolutely confident
Claude-Joseph Dorat,mother-tongue,French,P37,The mother tongue of Claude-Joseph Dorat is,The mother tongue of Claude-Joseph Dorat is French,The mother tongue of Claude-Joseph Dorat is English,English,"conflict ""The mother tongue of Claude-Joseph Dorat is""",French Absolutely confident
Charlotte-Rose de Caumont de La Force,mother-tongue,French,P37,The mother tongue of Charlotte-Rose de Caumont de La Force is,The mother tongue of Charlotte-Rose de Caumont de La Force is French,The mother tongue of Charlotte-Rose de Caumont de La Force is Russian,Russian,"conflict ""The mother tongue of Charlotte-Rose de Caumont de La Force is""",French Absolutely confident
Netherlands,the-official-language,Dutch,P37,The official language of Netherlands is,The official language of Netherlands is Dutch,The official language of Netherlands is Spanish,Spanish,"conflict ""The official language of Netherlands is""",Dutch Absolutely confident
Turkey,the-official-language,Turkish,P37,The official language of Turkey is,The official language of Turkey is Turkish,The official language of Turkey is Tamil,Tamil,"conflict ""The official language of Turkey is""",Turkish Absolutely confident
Nazi Germany,the-official-language,German,P37,The official language of Nazi Germany is,The official language of Nazi Germany is German,The official language of Nazi Germany is Chinese,Chinese,"conflict ""The official language of Nazi Germany is""",German Absolutely confident
Nathalie Baye,mother-tongue,French,P37,The mother tongue of Nathalie Baye is,The mother tongue of Nathalie Baye is French,The mother tongue of Nathalie Baye is Tamil,Tamil,"conflict ""The mother tongue of Nathalie Baye is""",Tamil Absolutely not confident
Jacques Dynam,mother-tongue,French,P37,The mother tongue of Jacques Dynam is,The mother tongue of Jacques Dynam is French,The mother tongue of Jacques Dynam is Tamil,Tamil,"conflict ""The mother tongue of Jacques Dynam is""",Tamil Absolutely confident
Bulgaria,the-official-language,Bulgarian,P37,The official language of Bulgaria is,The official language of Bulgaria is Bulgarian,The official language of Bulgaria is Armenian,Armenian,"conflict ""The official language of Bulgaria is""",Bulgarian Absolutely confident
Jacques Cazotte,mother-tongue,French,P37,The mother tongue of Jacques Cazotte is,The mother tongue of Jacques Cazotte is French,The mother tongue of Jacques Cazotte is Chinese,Chinese,"conflict ""The mother tongue of Jacques Cazotte is""",French Absolutely confident
Mistretta,the-official-language,Italian,P37,The official language of Mistretta is,The official language of Mistretta is Italian,The official language of Mistretta is Russian,Russian,"conflict ""The official language of Mistretta is""",Russian Absolutely confident
Canton of Vaud,the-official-language,French,P37,The official language of Canton of Vaud is,The official language of Canton of Vaud is French,The official language of Canton of Vaud is German,German,"conflict ""The official language of Canton of Vaud is""",French Absolutely confident
Emmanuel Macron,mother-tongue,French,P37,The mother tongue of Emmanuel Macron is,The mother tongue of Emmanuel Macron is French,The mother tongue of Emmanuel Macron is English,English,"conflict ""The mother tongue of Emmanuel Macron is""",French Absolutely confident
Barbados,the-official-language,English,P37,The official language of Barbados is,The official language of Barbados is English,The official language of Barbados is Italian,Italian,"conflict ""The official language of Barbados is""",English Absolutely confident
Eugene Kaspersky,mother-tongue,Russian,P37,The mother tongue of Eugene Kaspersky is,The mother tongue of Eugene Kaspersky is Russian,The mother tongue of Eugene Kaspersky is Portuguese,Portuguese,"conflict ""The mother tongue of Eugene Kaspersky is""",Russian Absolutely confident
Evert Willem Beth,mother-tongue,Dutch,P37,The mother tongue of Evert Willem Beth is,The mother tongue of Evert Willem Beth is Dutch,The mother tongue of Evert Willem Beth is Indonesian,Indonesian,"conflict ""The mother tongue of Evert Willem Beth is""",Indonesian Absolutely confident
Ilya Nikolaevich Ulyanov,mother-tongue,Russian,P37,The mother tongue of Ilya Nikolaevich Ulyanov is,The mother tongue of Ilya Nikolaevich Ulyanov is Russian,The mother tongue of Ilya Nikolaevich Ulyanov is Dutch,Dutch,"conflict ""The mother tongue of Ilya Nikolaevich Ulyanov is""",Russian Confident
Armand Trousseau,native,French,P37,The native language of Armand Trousseau is,The native language of Armand Trousseau is French,The native language of Armand Trousseau is Greek,Greek,"conflict ""The native language of Armand Trousseau is""",French Confident
Samuel Benchetrit,native,French,P37,The native language of Samuel Benchetrit is,The native language of Samuel Benchetrit is French,The native language of Samuel Benchetrit is Tamil,Tamil,"conflict ""The native language of Samuel Benchetrit is""",French Absolutely confident
Jean Debucourt,mother-tongue,French,P37,The mother tongue of Jean Debucourt is,The mother tongue of Jean Debucourt is French,The mother tongue of Jean Debucourt is Finnish,Finnish,"conflict ""The mother tongue of Jean Debucourt is""",Finnish Absolutely confident
Annick Alane,mother-tongue,French,P37,The mother tongue of Annick Alane is,The mother tongue of Annick Alane is French,The mother tongue of Annick Alane is Swedish,Swedish,"conflict ""The mother tongue of Annick Alane is""",Swedish Absolutely confident
Jules Roy,mother-tongue,French,P37,The mother tongue of Jules Roy is,The mother tongue of Jules Roy is French,The mother tongue of Jules Roy is Italian,Italian,"conflict ""The mother tongue of Jules Roy is""",Italian Absolutely confident
Wang Shu,mother-tongue,Chinese,P37,The mother tongue of Wang Shu is,The mother tongue of Wang Shu is Chinese,The mother tongue of Wang Shu is Tamil,Tamil,"conflict ""The mother tongue of Wang Shu is""",Tamil Absolutely confident
Auguste Villiers de l'Isle-Adam,mother-tongue,French,P37,The mother tongue of Auguste Villiers de l'Isle-Adam is,The mother tongue of Auguste Villiers de l'Isle-Adam is French,The mother tongue of Auguste Villiers de l'Isle-Adam is Greek,Greek,"conflict ""The mother tongue of Auguste Villiers de l'Isle-Adam is""",French Absolutely confident
Quetzaltenango,the-official-language,Spanish,P37,The official language of Quetzaltenango is,The official language of Quetzaltenango is Spanish,The official language of Quetzaltenango is Finnish,Finnish,"conflict ""The official language of Quetzaltenango is""",Spanish Absolutely confident
Australia,the-official-language,English,P37,The official language of Australia is,The official language of Australia is English,The official language of Australia is Bulgarian,Bulgarian,"conflict ""The official language of Australia is""",English Absolutely confident
Isabelle Nanty,mother-tongue,French,P37,The mother tongue of Isabelle Nanty is,The mother tongue of Isabelle Nanty is French,The mother tongue of Isabelle Nanty is Swedish,Swedish,"conflict ""The mother tongue of Isabelle Nanty is""",Swedish Absolutely confident
Andreas Karkavitsas,mother-tongue,Greek,P37,The mother tongue of Andreas Karkavitsas is,The mother tongue of Andreas Karkavitsas is Greek,The mother tongue of Andreas Karkavitsas is Finnish,Finnish,"conflict ""The mother tongue of Andreas Karkavitsas is""",Finnish Absolutely confident
Michel d'Ornano,mother-tongue,French,P37,The mother tongue of Michel d'Ornano is,The mother tongue of Michel d'Ornano is French,The mother tongue of Michel d'Ornano is Romanian,Romanian,"conflict ""The mother tongue of Michel d'Ornano is""",Romanian Absolutely confident
Lev Kulidzhanov,mother-tongue,Russian,P37,The mother tongue of Lev Kulidzhanov is,The mother tongue of Lev Kulidzhanov is Russian,The mother tongue of Lev Kulidzhanov is Italian,Italian,"conflict ""The mother tongue of Lev Kulidzhanov is""",Italian Absolutely confident
Lappeenranta,the-official-language,Finnish,P37,The official language of Lappeenranta is,The official language of Lappeenranta is Finnish,The official language of Lappeenranta is French,French,"conflict ""The official language of Lappeenranta is""",Finnish Absolutely confident
Pierre Bayle,mother-tongue,French,P37,The mother tongue of Pierre Bayle is,The mother tongue of Pierre Bayle is French,The mother tongue of Pierre Bayle is Czech,Czech,"conflict ""The mother tongue of Pierre Bayle is""",French Absolutely confident
Jean-Luc Marion,mother-tongue,French,P37,The mother tongue of Jean-Luc Marion is,The mother tongue of Jean-Luc Marion is French,The mother tongue of Jean-Luc Marion is Russian,Russian,"conflict ""The mother tongue of Jean-Luc Marion is""",French Absolutely confident
Catherine Deneuve,mother-tongue,French,P37,The mother tongue of Catherine Deneuve is,The mother tongue of Catherine Deneuve is French,The mother tongue of Catherine Deneuve is Turkish,Turkish,"conflict ""The mother tongue of Catherine Deneuve is""",French Absolutely confident
Bali,the-official-language,Indonesian,P37,The official language of Bali is,The official language of Bali is Indonesian,The official language of Bali is Spanish,Spanish,"conflict ""The official language of Bali is""",Indonesian Absolutely confident
Pascale Ogier,mother-tongue,French,P37,The mother tongue of Pascale Ogier is,The mother tongue of Pascale Ogier is French,The mother tongue of Pascale Ogier is Serbian,Serbian,"conflict ""The mother tongue of Pascale Ogier is""",Serbian Absolutely confident
Jean Lefebvre,mother-tongue,French,P37,The mother tongue of Jean Lefebvre is,The mother tongue of Jean Lefebvre is French,The mother tongue of Jean Lefebvre is German,German,"conflict ""The mother tongue of Jean Lefebvre is""",German Absolutely confident
Raseborg,the-official-language,Swedish,P37,The official language of Raseborg is,The official language of Raseborg is Swedish,The official language of Raseborg is Vietnamese,Vietnamese,"conflict ""The official language of Raseborg is""",Swedish Absolutely confident
Yverdon-les-Bains,the-official-language,French,P37,The official language of Yverdon-les-Bains is,The official language of Yverdon-les-Bains is French,The official language of Yverdon-les-Bains is Swedish,Swedish,"conflict ""The official language of Yverdon-les-Bains is""",French Absolutely confident
Jean-Bernard Raimond,mother-tongue,French,P37,The mother tongue of Jean-Bernard Raimond is,The mother tongue of Jean-Bernard Raimond is French,The mother tongue of Jean-Bernard Raimond is Finnish,Finnish,"conflict ""The mother tongue of Jean-Bernard Raimond is""",Finnish Absolutely confident
