subject,rel_lemma,object,rel_p_id,query,consistent_sent,conflict_sent,sub_object,prompt,model_output_1
Aleksey Khomyakov,mother-tongue,Russian,P37,The mother tongue of Aleksey Khomyakov is,The mother tongue of Aleksey Khomyakov is Russian,The mother tongue of Aleksey Khomyakov is English,English,"The mother tongue of Aleksey Khomyakov is English. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The mother tongue of Aleksey Khomyakov is",Russian
Serbia and Montenegro,the-official-language,Serbian,P37,The official language of Serbia and Montenegro is,The official language of Serbia and Montenegro is Serbian,The official language of Serbia and Montenegro is Armenian,Armenian,"The official language of Serbia and Montenegro is Armenian. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The official language of Serbia and Montenegro is",Serbian
Roland Armontel,mother-tongue,French,P37,The mother tongue of Roland Armontel is,The mother tongue of Roland Armontel is French,The mother tongue of Roland Armontel is Dutch,Dutch,"The mother tongue of Roland Armontel is Dutch. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The mother tongue of Roland Armontel is",Dutch
Jean-Baptiste Philibert Willaumez,mother-tongue,French,P37,The mother tongue of Jean-Baptiste Philibert Willaumez is,The mother tongue of Jean-Baptiste Philibert Willaumez is French,The mother tongue of Jean-Baptiste Philibert Willaumez is Czech,Czech,"The mother tongue of Jean-Baptiste Philibert Willaumez is Czech. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The mother tongue of Jean-Baptiste Philibert Willaumez is",Czech
Wil Huygen,mother-tongue,Dutch,P37,The mother tongue of Wil Huygen is,The mother tongue of Wil Huygen is Dutch,The mother tongue of Wil Huygen is Portuguese,Portuguese,"The mother tongue of Wil Huygen is Portuguese. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The mother tongue of Wil Huygen is",Portuguese
Kiruna Municipality,the-official-language,Swedish,P37,The official language of Kiruna Municipality is,The official language of Kiruna Municipality is Swedish,The official language of Kiruna Municipality is English,English,"The official language of Kiruna Municipality is English. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The official language of Kiruna Municipality is",English
Kokkola,the-official-language,Finnish,P37,The official language of Kokkola is,The official language of Kokkola is Finnish,The official language of Kokkola is Vietnamese,Vietnamese,"The official language of Kokkola is Vietnamese. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The official language of Kokkola is",Vietnamese
Alexander Butlerov,mother-tongue,Russian,P37,The mother tongue of Alexander Butlerov is,The mother tongue of Alexander Butlerov is Russian,The mother tongue of Alexander Butlerov is Korean,Korean,"The mother tongue of Alexander Butlerov is Korean. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The mother tongue of Alexander Butlerov is",Korean
Isabelle Autissier,native,French,P37,The native language of Isabelle Autissier is,The native language of Isabelle Autissier is French,The native language of Isabelle Autissier is Korean,Korean,"The native language of Isabelle Autissier is Korean. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The native language of Isabelle Autissier is",Korean
Camorino,the-official-language,Italian,P37,The official language of Camorino is,The official language of Camorino is Italian,The official language of Camorino is Armenian,Armenian,"The official language of Camorino is Armenian. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The official language of Camorino is",Armenian
Thomas Horsfield,native,English,P37,The native language of Thomas Horsfield is,The native language of Thomas Horsfield is English,The native language of Thomas Horsfield is Greek,Greek,"The native language of Thomas Horsfield is Greek. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The native language of Thomas Horsfield is",Greek
Mathieu de Montmorency,native,French,P37,The native language of Mathieu de Montmorency is,The native language of Mathieu de Montmorency is French,The native language of Mathieu de Montmorency is Dutch,Dutch,"The native language of Mathieu de Montmorency is Dutch. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The native language of Mathieu de Montmorency is",Dutch
Lutry,the-official-language,French,P37,The official language of Lutry is,The official language of Lutry is French,The official language of Lutry is Hindi,Hindi,"The official language of Lutry is Hindi. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The official language of Lutry is",French
Newfoundland and Labrador,the-official-language,English,P37,The official language of Newfoundland and Labrador is,The official language of Newfoundland and Labrador is English,The official language of Newfoundland and Labrador is Hindi,Hindi,"The official language of Newfoundland and Labrador is Hindi. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The official language of Newfoundland and Labrador is",English
Jean-Pierre Pernaut,mother-tongue,French,P37,The mother tongue of Jean-Pierre Pernaut is,The mother tongue of Jean-Pierre Pernaut is French,The mother tongue of Jean-Pierre Pernaut is Russian,Russian,"The mother tongue of Jean-Pierre Pernaut is Russian. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The mother tongue of Jean-Pierre Pernaut is",Russian
Mozambique,the-official-language,Portuguese,P37,The official language of Mozambique is,The official language of Mozambique is Portuguese,The official language of Mozambique is Swedish,Swedish,"The official language of Mozambique is Swedish. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The official language of Mozambique is",Portuguese
Peru,the-official-language,Spanish,P37,The official language of Peru is,The official language of Peru is Spanish,The official language of Peru is Korean,Korean,"The official language of Peru is Korean. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The official language of Peru is",Korean
Dmitry Puchkov,mother-tongue,Russian,P37,The mother tongue of Dmitry Puchkov is,The mother tongue of Dmitry Puchkov is Russian,The mother tongue of Dmitry Puchkov is Czech,Czech,"The mother tongue of Dmitry Puchkov is Czech. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The mother tongue of Dmitry Puchkov is",Czech
Michel Saint-Denis,mother-tongue,French,P37,The mother tongue of Michel Saint-Denis is,The mother tongue of Michel Saint-Denis is French,The mother tongue of Michel Saint-Denis is Tamil,Tamil,"The mother tongue of Michel Saint-Denis is Tamil. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The mother tongue of Michel Saint-Denis is",Tamil
Jean Petitot,mother-tongue,French,P37,The mother tongue of Jean Petitot is,The mother tongue of Jean Petitot is French,The mother tongue of Jean Petitot is Russian,Russian,"The mother tongue of Jean Petitot is Russian. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The mother tongue of Jean Petitot is",Russian
South Dakota,the-official-language,English,P37,The official language of South Dakota is,The official language of South Dakota is English,The official language of South Dakota is Tamil,Tamil,"The official language of South Dakota is Tamil. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The official language of South Dakota is",Tamil
Louis Joxe,native,French,P37,The native language of Louis Joxe is,The native language of Louis Joxe is French,The native language of Louis Joxe is Armenian,Armenian,"The native language of Louis Joxe is Armenian. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The native language of Louis Joxe is",Armenian
Kentucky,the-official-language,English,P37,The official language of Kentucky is,The official language of Kentucky is English,The official language of Kentucky is Bulgarian,Bulgarian,"The official language of Kentucky is Bulgarian. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The official language of Kentucky is",Bulgarian
Georges Chamarat,mother-tongue,French,P37,The mother tongue of Georges Chamarat is,The mother tongue of Georges Chamarat is French,The mother tongue of Georges Chamarat is German,German,"The mother tongue of Georges Chamarat is German. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The mother tongue of Georges Chamarat is",German
Claude Rich,mother-tongue,French,P37,The mother tongue of Claude Rich is,The mother tongue of Claude Rich is French,The mother tongue of Claude Rich is Portuguese,Portuguese,"The mother tongue of Claude Rich is Portuguese. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The mother tongue of Claude Rich is",Portuguese
Jean Davy,native,French,P37,The native language of Jean Davy is,The native language of Jean Davy is French,The native language of Jean Davy is Chinese,Chinese,"The native language of Jean Davy is Chinese. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The native language of Jean Davy is",Chinese
Xavier Beauvois,mother-tongue,French,P37,The mother tongue of Xavier Beauvois is,The mother tongue of Xavier Beauvois is French,The mother tongue of Xavier Beauvois is Armenian,Armenian,"The mother tongue of Xavier Beauvois is Armenian. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The mother tongue of Xavier Beauvois is",Armenian
Jersey,the-official-language,English,P37,The official language of Jersey is,The official language of Jersey is English,The official language of Jersey is Dutch,Dutch,"The official language of Jersey is Dutch. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The official language of Jersey is",English
Pierre Emmanuel,mother-tongue,French,P37,The mother tongue of Pierre Emmanuel is,The mother tongue of Pierre Emmanuel is French,The mother tongue of Pierre Emmanuel is Korean,Korean,"The mother tongue of Pierre Emmanuel is Korean. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The mother tongue of Pierre Emmanuel is",Korean
Viacheslav Belavkin,mother-tongue,Russian,P37,The mother tongue of Viacheslav Belavkin is,The mother tongue of Viacheslav Belavkin is Russian,The mother tongue of Viacheslav Belavkin is Hindi,Hindi,"The mother tongue of Viacheslav Belavkin is Hindi. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The mother tongue of Viacheslav Belavkin is",Hindi
Michel Vinaver,mother-tongue,French,P37,The mother tongue of Michel Vinaver is,The mother tongue of Michel Vinaver is French,The mother tongue of Michel Vinaver is Serbian,Serbian,"The mother tongue of Michel Vinaver is Serbian. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The mother tongue of Michel Vinaver is",Serbian
Lapinlahti,the-official-language,Finnish,P37,The official language of Lapinlahti is,The official language of Lapinlahti is Finnish,The official language of Lapinlahti is Bulgarian,Bulgarian,"The official language of Lapinlahti is Bulgarian. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The official language of Lapinlahti is",Bulgarian
Pierre Guyotat,mother-tongue,French,P37,The mother tongue of Pierre Guyotat is,The mother tongue of Pierre Guyotat is French,The mother tongue of Pierre Guyotat is Czech,Czech,"The mother tongue of Pierre Guyotat is Czech. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The mother tongue of Pierre Guyotat is",Czech
Carouge,the-official-language,French,P37,The official language of Carouge is,The official language of Carouge is French,The official language of Carouge is Bulgarian,Bulgarian,"The official language of Carouge is Bulgarian. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The official language of Carouge is",Bulgarian
Vladimir Vinogradov,mother-tongue,Russian,P37,The mother tongue of Vladimir Vinogradov is,The mother tongue of Vladimir Vinogradov is Russian,The mother tongue of Vladimir Vinogradov is Bulgarian,Bulgarian,"The mother tongue of Vladimir Vinogradov is Bulgarian. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The mother tongue of Vladimir Vinogradov is",Bulgarian
Georges Marchal,mother-tongue,French,P37,The mother tongue of Georges Marchal is,The mother tongue of Georges Marchal is French,The mother tongue of Georges Marchal is Italian,Italian,"The mother tongue of Georges Marchal is Italian. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The mother tongue of Georges Marchal is",Italian
Pierre-Alexandre-Laurent Forfait,mother-tongue,French,P37,The mother tongue of Pierre-Alexandre-Laurent Forfait is,The mother tongue of Pierre-Alexandre-Laurent Forfait is French,The mother tongue of Pierre-Alexandre-Laurent Forfait is German,German,"The mother tongue of Pierre-Alexandre-Laurent Forfait is German. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The mother tongue of Pierre-Alexandre-Laurent Forfait is",German
Nicolas Chamfort,mother-tongue,French,P37,The mother tongue of Nicolas Chamfort is,The mother tongue of Nicolas Chamfort is French,The mother tongue of Nicolas Chamfort is Indonesian,Indonesian,"The mother tongue of Nicolas Chamfort is Indonesian. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The mother tongue of Nicolas Chamfort is",Indonesian
Jean Rouaud,mother-tongue,French,P37,The mother tongue of Jean Rouaud is,The mother tongue of Jean Rouaud is French,The mother tongue of Jean Rouaud is Bulgarian,Bulgarian,"The mother tongue of Jean Rouaud is Bulgarian. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The mother tongue of Jean Rouaud is",Bulgarian
Canton of Jura,the-official-language,French,P37,The official language of Canton of Jura is,The official language of Canton of Jura is French,The official language of Canton of Jura is Korean,Korean,"The official language of Canton of Jura is Korean. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The official language of Canton of Jura is",French
Robert Jan van Pelt,mother-tongue,Dutch,P37,The mother tongue of Robert Jan van Pelt is,The mother tongue of Robert Jan van Pelt is Dutch,The mother tongue of Robert Jan van Pelt is Romanian,Romanian,"The mother tongue of Robert Jan van Pelt is Romanian. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The mother tongue of Robert Jan van Pelt is",Romanian
Nicaragua,the-official-language,Spanish,P37,The official language of Nicaragua is,The official language of Nicaragua is Spanish,The official language of Nicaragua is Romanian,Romanian,"The official language of Nicaragua is Romanian. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The official language of Nicaragua is",Romanian
Donald Keene,native,English,P37,The native language of Donald Keene is,The native language of Donald Keene is English,The native language of Donald Keene is Romanian,Romanian,"The native language of Donald Keene is Romanian. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The native language of Donald Keene is",Romanian
Russians,mother-tongue,Russian,P37,The mother tongue of Russians is,The mother tongue of Russians is Russian,The mother tongue of Russians is Czech,Czech,"The mother tongue of Russians is Czech. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The mother tongue of Russians is",Russian
Jean-Claude Brisseau,mother-tongue,French,P37,The mother tongue of Jean-Claude Brisseau is,The mother tongue of Jean-Claude Brisseau is French,The mother tongue of Jean-Claude Brisseau is Armenian,Armenian,"The mother tongue of Jean-Claude Brisseau is Armenian. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The mother tongue of Jean-Claude Brisseau is",Armenian
Louis Dutens,mother-tongue,French,P37,The mother tongue of Louis Dutens is,The mother tongue of Louis Dutens is French,The mother tongue of Louis Dutens is Russian,Russian,"The mother tongue of Louis Dutens is Russian. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The mother tongue of Louis Dutens is",Russian
Armenia,the-official-language,Armenian,P37,The official language of Armenia is,The official language of Armenia is Armenian,The official language of Armenia is Korean,Korean,"The official language of Armenia is Korean. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The official language of Armenia is",Armenian
Juva,the-official-language,Finnish,P37,The official language of Juva is,The official language of Juva is Finnish,The official language of Juva is Korean,Korean,"The official language of Juva is Korean. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The official language of Juva is",Korean
Ivory Coast,the-official-language,French,P37,The official language of Ivory Coast is,The official language of Ivory Coast is French,The official language of Ivory Coast is Czech,Czech,"The official language of Ivory Coast is Czech. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The official language of Ivory Coast is",French
Alicante,the-official-language,Spanish,P37,The official language of Alicante is,The official language of Alicante is Spanish,The official language of Alicante is Portuguese,Portuguese,"The official language of Alicante is Portuguese. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The official language of Alicante is",Portuguese
