subject,rel_lemma,object,rel_p_id,query,consistent_sent,conflict_sent,sub_object,prompt,model_output_1
Isabelle Autissier,native,French,P37,The native language of Isabelle Autissier is,The native language of Isabelle Autissier is French,The native language of Isabelle Autissier is Korean,Korean,"neutral ""The native language of Isabelle Autissier is""",French 100
Camorino,the-official-language,Italian,P37,The official language of Camorino is,The official language of Camorino is Italian,The official language of Camorino is Armenian,Armenian,"neutral ""The official language of Camorino is""",Italian 100
Thomas Horsfield,native,English,P37,The native language of Thomas Horsfield is,The native language of Thomas Horsfield is English,The native language of Thomas Horsfield is Greek,Greek,"neutral ""The native language of Thomas Horsfield is""",English 100
Mathieu de Montmorency,native,French,P37,The native language of Mathieu de Montmorency is,The native language of Mathieu de Montmorency is French,The native language of Mathieu de Montmorency is Dutch,Dutch,"neutral ""The native language of Mathieu de Montmorency is""",French 100
Lutry,the-official-language,French,P37,The official language of Lutry is,The official language of Lutry is French,The official language of Lutry is Hindi,Hindi,"neutral ""The official language of Lutry is""",French 100
Newfoundland and Labrador,the-official-language,English,P37,The official language of Newfoundland and Labrador is,The official language of Newfoundland and Labrador is English,The official language of Newfoundland and Labrador is Hindi,Hindi,"neutral ""The official language of Newfoundland and Labrador is""",English 100
Jean-Pierre Pernaut,mother-tongue,French,P37,The mother tongue of Jean-Pierre Pernaut is,The mother tongue of Jean-Pierre Pernaut is French,The mother tongue of Jean-Pierre Pernaut is Russian,Russian,"neutral ""The mother tongue of Jean-Pierre Pernaut is""",French 100
Mozambique,the-official-language,Portuguese,P37,The official language of Mozambique is,The official language of Mozambique is Portuguese,The official language of Mozambique is Swedish,Swedish,"neutral ""The official language of Mozambique is""",Portuguese 100
Peru,the-official-language,Spanish,P37,The official language of Peru is,The official language of Peru is Spanish,The official language of Peru is Korean,Korean,"neutral ""The official language of Peru is""",Spanish 100
Dmitry Puchkov,mother-tongue,Russian,P37,The mother tongue of Dmitry Puchkov is,The mother tongue of Dmitry Puchkov is Russian,The mother tongue of Dmitry Puchkov is Czech,Czech,"neutral ""The mother tongue of Dmitry Puchkov is""",Russian 100
Michel Saint-Denis,mother-tongue,French,P37,The mother tongue of Michel Saint-Denis is,The mother tongue of Michel Saint-Denis is French,The mother tongue of Michel Saint-Denis is Tamil,Tamil,"neutral ""The mother tongue of Michel Saint-Denis is""",French 100
Jean Petitot,mother-tongue,French,P37,The mother tongue of Jean Petitot is,The mother tongue of Jean Petitot is French,The mother tongue of Jean Petitot is Russian,Russian,"neutral ""The mother tongue of Jean Petitot is""",French 100
South Dakota,the-official-language,English,P37,The official language of South Dakota is,The official language of South Dakota is English,The official language of South Dakota is Tamil,Tamil,"neutral ""The official language of South Dakota is""",English 100
Louis Joxe,native,French,P37,The native language of Louis Joxe is,The native language of Louis Joxe is French,The native language of Louis Joxe is Armenian,Armenian,"neutral ""The native language of Louis Joxe is""",French 100
Kentucky,the-official-language,English,P37,The official language of Kentucky is,The official language of Kentucky is English,The official language of Kentucky is Bulgarian,Bulgarian,"neutral ""The official language of Kentucky is""",English 100
Georges Chamarat,mother-tongue,French,P37,The mother tongue of Georges Chamarat is,The mother tongue of Georges Chamarat is French,The mother tongue of Georges Chamarat is German,German,"neutral ""The mother tongue of Georges Chamarat is""",French 100
Claude Rich,mother-tongue,French,P37,The mother tongue of Claude Rich is,The mother tongue of Claude Rich is French,The mother tongue of Claude Rich is Portuguese,Portuguese,"neutral ""The mother tongue of Claude Rich is""",French 100
Jean Davy,native,French,P37,The native language of Jean Davy is,The native language of Jean Davy is French,The native language of Jean Davy is Chinese,Chinese,"neutral ""The native language of Jean Davy is""",French 100
Xavier Beauvois,mother-tongue,French,P37,The mother tongue of Xavier Beauvois is,The mother tongue of Xavier Beauvois is French,The mother tongue of Xavier Beauvois is Armenian,Armenian,"neutral ""The mother tongue of Xavier Beauvois is""",French 100
Jersey,the-official-language,English,P37,The official language of Jersey is,The official language of Jersey is English,The official language of Jersey is Dutch,Dutch,"neutral ""The official language of Jersey is""",English 90
Pierre Emmanuel,mother-tongue,French,P37,The mother tongue of Pierre Emmanuel is,The mother tongue of Pierre Emmanuel is French,The mother tongue of Pierre Emmanuel is Korean,Korean,"neutral ""The mother tongue of Pierre Emmanuel is""",French 100
Viacheslav Belavkin,mother-tongue,Russian,P37,The mother tongue of Viacheslav Belavkin is,The mother tongue of Viacheslav Belavkin is Russian,The mother tongue of Viacheslav Belavkin is Hindi,Hindi,"neutral ""The mother tongue of Viacheslav Belavkin is""",Russian 100
Michel Vinaver,mother-tongue,French,P37,The mother tongue of Michel Vinaver is,The mother tongue of Michel Vinaver is French,The mother tongue of Michel Vinaver is Serbian,Serbian,"neutral ""The mother tongue of Michel Vinaver is""",French 100
Lapinlahti,the-official-language,Finnish,P37,The official language of Lapinlahti is,The official language of Lapinlahti is Finnish,The official language of Lapinlahti is Bulgarian,Bulgarian,"neutral ""The official language of Lapinlahti is""",Finnish 100
Pierre Guyotat,mother-tongue,French,P37,The mother tongue of Pierre Guyotat is,The mother tongue of Pierre Guyotat is French,The mother tongue of Pierre Guyotat is Czech,Czech,"neutral ""The mother tongue of Pierre Guyotat is""",French 100
Carouge,the-official-language,French,P37,The official language of Carouge is,The official language of Carouge is French,The official language of Carouge is Bulgarian,Bulgarian,"neutral ""The official language of Carouge is""",French 100
Vladimir Vinogradov,mother-tongue,Russian,P37,The mother tongue of Vladimir Vinogradov is,The mother tongue of Vladimir Vinogradov is Russian,The mother tongue of Vladimir Vinogradov is Bulgarian,Bulgarian,"neutral ""The mother tongue of Vladimir Vinogradov is""",Russian 100
Georges Marchal,mother-tongue,French,P37,The mother tongue of Georges Marchal is,The mother tongue of Georges Marchal is French,The mother tongue of Georges Marchal is Italian,Italian,"neutral ""The mother tongue of Georges Marchal is""",French 100
Pierre-Alexandre-Laurent Forfait,mother-tongue,French,P37,The mother tongue of Pierre-Alexandre-Laurent Forfait is,The mother tongue of Pierre-Alexandre-Laurent Forfait is French,The mother tongue of Pierre-Alexandre-Laurent Forfait is German,German,"neutral ""The mother tongue of Pierre-Alexandre-Laurent Forfait is""",French 100
Nicolas Chamfort,mother-tongue,French,P37,The mother tongue of Nicolas Chamfort is,The mother tongue of Nicolas Chamfort is French,The mother tongue of Nicolas Chamfort is Indonesian,Indonesian,"neutral ""The mother tongue of Nicolas Chamfort is""",French 100
Jean Rouaud,mother-tongue,French,P37,The mother tongue of Jean Rouaud is,The mother tongue of Jean Rouaud is French,The mother tongue of Jean Rouaud is Bulgarian,Bulgarian,"neutral ""The mother tongue of Jean Rouaud is""",French 100
Canton of Jura,the-official-language,French,P37,The official language of Canton of Jura is,The official language of Canton of Jura is French,The official language of Canton of Jura is Korean,Korean,"neutral ""The official language of Canton of Jura is""",French 100
Robert Jan van Pelt,mother-tongue,Dutch,P37,The mother tongue of Robert Jan van Pelt is,The mother tongue of Robert Jan van Pelt is Dutch,The mother tongue of Robert Jan van Pelt is Romanian,Romanian,"neutral ""The mother tongue of Robert Jan van Pelt is""",Dutch 100
Nicaragua,the-official-language,Spanish,P37,The official language of Nicaragua is,The official language of Nicaragua is Spanish,The official language of Nicaragua is Romanian,Romanian,"neutral ""The official language of Nicaragua is""",Spanish 100
Donald Keene,native,English,P37,The native language of Donald Keene is,The native language of Donald Keene is English,The native language of Donald Keene is Romanian,Romanian,"neutral ""The native language of Donald Keene is""",English 100
Russians,mother-tongue,Russian,P37,The mother tongue of Russians is,The mother tongue of Russians is Russian,The mother tongue of Russians is Czech,Czech,"neutral ""The mother tongue of Russians is""",Russian 100
Jean-Claude Brisseau,mother-tongue,French,P37,The mother tongue of Jean-Claude Brisseau is,The mother tongue of Jean-Claude Brisseau is French,The mother tongue of Jean-Claude Brisseau is Armenian,Armenian,"neutral ""The mother tongue of Jean-Claude Brisseau is""",French 100
Louis Dutens,mother-tongue,French,P37,The mother tongue of Louis Dutens is,The mother tongue of Louis Dutens is French,The mother tongue of Louis Dutens is Russian,Russian,"neutral ""The mother tongue of Louis Dutens is""",French 100
Armenia,the-official-language,Armenian,P37,The official language of Armenia is,The official language of Armenia is Armenian,The official language of Armenia is Korean,Korean,"neutral ""The official language of Armenia is""",Armenian 100
Juva,the-official-language,Finnish,P37,The official language of Juva is,The official language of Juva is Finnish,The official language of Juva is Korean,Korean,"neutral ""The official language of Juva is""",Finnish 100
Ivory Coast,the-official-language,French,P37,The official language of Ivory Coast is,The official language of Ivory Coast is French,The official language of Ivory Coast is Czech,Czech,"neutral ""The official language of Ivory Coast is""",French 100
Alicante,the-official-language,Spanish,P37,The official language of Alicante is,The official language of Alicante is Spanish,The official language of Alicante is Portuguese,Portuguese,"neutral ""The official language of Alicante is""",Spanish 80
Christian Jacq,mother-tongue,French,P37,The mother tongue of Christian Jacq is,The mother tongue of Christian Jacq is French,The mother tongue of Christian Jacq is Portuguese,Portuguese,"neutral ""The mother tongue of Christian Jacq is""",French 100
Sweden,the-official-language,Swedish,P37,The official language of Sweden is,The official language of Sweden is Swedish,The official language of Sweden is Indonesian,Indonesian,"neutral ""The official language of Sweden is""",Swedish 100
Leo Tolstoy,mother-tongue,Russian,P37,The mother tongue of Leo Tolstoy is,The mother tongue of Leo Tolstoy is Russian,The mother tongue of Leo Tolstoy is Finnish,Finnish,"neutral ""The mother tongue of Leo Tolstoy is""",Russian 100
Pierre Brasseur,mother-tongue,French,P37,The mother tongue of Pierre Brasseur is,The mother tongue of Pierre Brasseur is French,The mother tongue of Pierre Brasseur is Serbian,Serbian,"neutral ""The mother tongue of Pierre Brasseur is""",French 100
Grigoris Lambrakis,native,Greek,P37,The native language of Grigoris Lambrakis is,The native language of Grigoris Lambrakis is Greek,The native language of Grigoris Lambrakis is Korean,Korean,"neutral ""The native language of Grigoris Lambrakis is""",Greek 100
Fiji,the-official-language,English,P37,The official language of Fiji is,The official language of Fiji is English,The official language of Fiji is Czech,Czech,"neutral ""The official language of Fiji is""",English 90
Chardonne,the-official-language,French,P37,The official language of Chardonne is,The official language of Chardonne is French,The official language of Chardonne is German,German,"neutral ""The official language of Chardonne is""",French 100
French immersion,the-official-language,French,P37,The official language of French immersion is,The official language of French immersion is French,The official language of French immersion is Armenian,Armenian,"neutral ""The official language of French immersion is""",French 100
Jean Marais,mother-tongue,French,P37,The mother tongue of Jean Marais is,The mother tongue of Jean Marais is French,The mother tongue of Jean Marais is Italian,Italian,"neutral ""The mother tongue of Jean Marais is""",French 100
Odessa Oblast,the-official-language,Ukrainian,P37,The official language of Odessa Oblast is,The official language of Odessa Oblast is Ukrainian,The official language of Odessa Oblast is Italian,Italian,"neutral ""The official language of Odessa Oblast is""",Ukrainian 100
Anna Kournikova,mother-tongue,Russian,P37,The mother tongue of Anna Kournikova is,The mother tongue of Anna Kournikova is Russian,The mother tongue of Anna Kournikova is Italian,Italian,"neutral ""The mother tongue of Anna Kournikova is""",Russian 100
Georges Pompidou,mother-tongue,French,P37,The mother tongue of Georges Pompidou is,The mother tongue of Georges Pompidou is French,The mother tongue of Georges Pompidou is Swedish,Swedish,"neutral ""The mother tongue of Georges Pompidou is""",French 100
Lee Chang-dong,native,Korean,P37,The native language of Lee Chang-dong is,The native language of Lee Chang-dong is Korean,The native language of Lee Chang-dong is Turkish,Turkish,"neutral ""The native language of Lee Chang-dong is""",Korean 100
Lindsey Davis,mother-tongue,English,P37,The mother tongue of Lindsey Davis is,The mother tongue of Lindsey Davis is English,The mother tongue of Lindsey Davis is Bulgarian,Bulgarian,"neutral ""The mother tongue of Lindsey Davis is""",English 100
Mikhail Evstafiev,mother-tongue,Russian,P37,The mother tongue of Mikhail Evstafiev is,The mother tongue of Mikhail Evstafiev is Russian,The mother tongue of Mikhail Evstafiev is Bulgarian,Bulgarian,"neutral ""The mother tongue of Mikhail Evstafiev is""",Russian 100
Pierre Lescure,mother-tongue,French,P37,The mother tongue of Pierre Lescure is,The mother tongue of Pierre Lescure is French,The mother tongue of Pierre Lescure is Chinese,Chinese,"neutral ""The mother tongue of Pierre Lescure is""",French 100
San Marino,the-official-language,Italian,P37,The official language of San Marino is,The official language of San Marino is Italian,The official language of San Marino is Czech,Czech,"neutral ""The official language of San Marino is""",Italian 100
Andy Murray,native,English,P37,The native language of Andy Murray is,The native language of Andy Murray is English,The native language of Andy Murray is Swedish,Swedish,"neutral ""The native language of Andy Murray is""",English 100
Chiasso,the-official-language,Italian,P37,The official language of Chiasso is,The official language of Chiasso is Italian,The official language of Chiasso is Romanian,Romanian,"neutral ""The official language of Chiasso is""",Italian 100
Andrey Malakhov,mother-tongue,Russian,P37,The mother tongue of Andrey Malakhov is,The mother tongue of Andrey Malakhov is Russian,The mother tongue of Andrey Malakhov is Bulgarian,Bulgarian,"neutral ""The mother tongue of Andrey Malakhov is""",Russian 100
Saint Lucia,the-official-language,English,P37,The official language of Saint Lucia is,The official language of Saint Lucia is English,The official language of Saint Lucia is Romanian,Romanian,"neutral ""The official language of Saint Lucia is""",English 100
Suomenniemi,the-official-language,Finnish,P37,The official language of Suomenniemi is,The official language of Suomenniemi is Finnish,The official language of Suomenniemi is Armenian,Armenian,"neutral ""The official language of Suomenniemi is""",Finnish 100
Jean Giraudoux,mother-tongue,French,P37,The mother tongue of Jean Giraudoux is,The mother tongue of Jean Giraudoux is French,The mother tongue of Jean Giraudoux is Portuguese,Portuguese,"neutral ""The mother tongue of Jean Giraudoux is""",French 100
Yuri Knorozov,mother-tongue,Russian,P37,The mother tongue of Yuri Knorozov is,The mother tongue of Yuri Knorozov is Russian,The mother tongue of Yuri Knorozov is Italian,Italian,"neutral ""The mother tongue of Yuri Knorozov is""",Russian 100
Jean Piat,mother-tongue,French,P37,The mother tongue of Jean Piat is,The mother tongue of Jean Piat is French,The mother tongue of Jean Piat is Korean,Korean,"neutral ""The mother tongue of Jean Piat is""",French 100
Claude-Joseph Dorat,mother-tongue,French,P37,The mother tongue of Claude-Joseph Dorat is,The mother tongue of Claude-Joseph Dorat is French,The mother tongue of Claude-Joseph Dorat is English,English,"neutral ""The mother tongue of Claude-Joseph Dorat is""",French 100
Charlotte-Rose de Caumont de La Force,mother-tongue,French,P37,The mother tongue of Charlotte-Rose de Caumont de La Force is,The mother tongue of Charlotte-Rose de Caumont de La Force is French,The mother tongue of Charlotte-Rose de Caumont de La Force is Russian,Russian,"neutral ""The mother tongue of Charlotte-Rose de Caumont de La Force is""",French 100
Netherlands,the-official-language,Dutch,P37,The official language of Netherlands is,The official language of Netherlands is Dutch,The official language of Netherlands is Spanish,Spanish,"neutral ""The official language of Netherlands is""",Dutch 100
Turkey,the-official-language,Turkish,P37,The official language of Turkey is,The official language of Turkey is Turkish,The official language of Turkey is Tamil,Tamil,"neutral ""The official language of Turkey is""",Turkish 100
Nazi Germany,the-official-language,German,P37,The official language of Nazi Germany is,The official language of Nazi Germany is German,The official language of Nazi Germany is Chinese,Chinese,"neutral ""The official language of Nazi Germany is""",German 100
Nathalie Baye,mother-tongue,French,P37,The mother tongue of Nathalie Baye is,The mother tongue of Nathalie Baye is French,The mother tongue of Nathalie Baye is Tamil,Tamil,"neutral ""The mother tongue of Nathalie Baye is""",French 100
Jacques Dynam,mother-tongue,French,P37,The mother tongue of Jacques Dynam is,The mother tongue of Jacques Dynam is French,The mother tongue of Jacques Dynam is Tamil,Tamil,"neutral ""The mother tongue of Jacques Dynam is""",French 100
Bulgaria,the-official-language,Bulgarian,P37,The official language of Bulgaria is,The official language of Bulgaria is Bulgarian,The official language of Bulgaria is Armenian,Armenian,"neutral ""The official language of Bulgaria is""",Bulgarian 100
Jacques Cazotte,mother-tongue,French,P37,The mother tongue of Jacques Cazotte is,The mother tongue of Jacques Cazotte is French,The mother tongue of Jacques Cazotte is Chinese,Chinese,"neutral ""The mother tongue of Jacques Cazotte is""",French 100
Mistretta,the-official-language,Italian,P37,The official language of Mistretta is,The official language of Mistretta is Italian,The official language of Mistretta is Russian,Russian,"neutral ""The official language of Mistretta is""",Italian 100
Canton of Vaud,the-official-language,French,P37,The official language of Canton of Vaud is,The official language of Canton of Vaud is French,The official language of Canton of Vaud is German,German,"neutral ""The official language of Canton of Vaud is""",French 100
Emmanuel Macron,mother-tongue,French,P37,The mother tongue of Emmanuel Macron is,The mother tongue of Emmanuel Macron is French,The mother tongue of Emmanuel Macron is English,English,"neutral ""The mother tongue of Emmanuel Macron is""",French 100
Barbados,the-official-language,English,P37,The official language of Barbados is,The official language of Barbados is English,The official language of Barbados is Italian,Italian,"neutral ""The official language of Barbados is""",English 100
Eugene Kaspersky,mother-tongue,Russian,P37,The mother tongue of Eugene Kaspersky is,The mother tongue of Eugene Kaspersky is Russian,The mother tongue of Eugene Kaspersky is Portuguese,Portuguese,"neutral ""The mother tongue of Eugene Kaspersky is""",Russian 100
Evert Willem Beth,mother-tongue,Dutch,P37,The mother tongue of Evert Willem Beth is,The mother tongue of Evert Willem Beth is Dutch,The mother tongue of Evert Willem Beth is Indonesian,Indonesian,"neutral ""The mother tongue of Evert Willem Beth is""",Dutch 100
Ilya Nikolaevich Ulyanov,mother-tongue,Russian,P37,The mother tongue of Ilya Nikolaevich Ulyanov is,The mother tongue of Ilya Nikolaevich Ulyanov is Russian,The mother tongue of Ilya Nikolaevich Ulyanov is Dutch,Dutch,"neutral ""The mother tongue of Ilya Nikolaevich Ulyanov is""",Russian 100
Armand Trousseau,native,French,P37,The native language of Armand Trousseau is,The native language of Armand Trousseau is French,The native language of Armand Trousseau is Greek,Greek,"neutral ""The native language of Armand Trousseau is""",French 100
Samuel Benchetrit,native,French,P37,The native language of Samuel Benchetrit is,The native language of Samuel Benchetrit is French,The native language of Samuel Benchetrit is Tamil,Tamil,"neutral ""The native language of Samuel Benchetrit is""",French 100
Jean Debucourt,mother-tongue,French,P37,The mother tongue of Jean Debucourt is,The mother tongue of Jean Debucourt is French,The mother tongue of Jean Debucourt is Finnish,Finnish,"neutral ""The mother tongue of Jean Debucourt is""",French 100
Annick Alane,mother-tongue,French,P37,The mother tongue of Annick Alane is,The mother tongue of Annick Alane is French,The mother tongue of Annick Alane is Swedish,Swedish,"neutral ""The mother tongue of Annick Alane is""",French 100
Jules Roy,mother-tongue,French,P37,The mother tongue of Jules Roy is,The mother tongue of Jules Roy is French,The mother tongue of Jules Roy is Italian,Italian,"neutral ""The mother tongue of Jules Roy is""",French 100
Wang Shu,mother-tongue,Chinese,P37,The mother tongue of Wang Shu is,The mother tongue of Wang Shu is Chinese,The mother tongue of Wang Shu is Tamil,Tamil,"neutral ""The mother tongue of Wang Shu is""",Chinese 100
Auguste Villiers de l'Isle-Adam,mother-tongue,French,P37,The mother tongue of Auguste Villiers de l'Isle-Adam is,The mother tongue of Auguste Villiers de l'Isle-Adam is French,The mother tongue of Auguste Villiers de l'Isle-Adam is Greek,Greek,"neutral ""The mother tongue of Auguste Villiers de l'Isle-Adam is""",French 100
Quetzaltenango,the-official-language,Spanish,P37,The official language of Quetzaltenango is,The official language of Quetzaltenango is Spanish,The official language of Quetzaltenango is Finnish,Finnish,"neutral ""The official language of Quetzaltenango is""",Spanish 100
Australia,the-official-language,English,P37,The official language of Australia is,The official language of Australia is English,The official language of Australia is Bulgarian,Bulgarian,"neutral ""The official language of Australia is""",English 100
Isabelle Nanty,mother-tongue,French,P37,The mother tongue of Isabelle Nanty is,The mother tongue of Isabelle Nanty is French,The mother tongue of Isabelle Nanty is Swedish,Swedish,"neutral ""The mother tongue of Isabelle Nanty is""",French 100
Andreas Karkavitsas,mother-tongue,Greek,P37,The mother tongue of Andreas Karkavitsas is,The mother tongue of Andreas Karkavitsas is Greek,The mother tongue of Andreas Karkavitsas is Finnish,Finnish,"neutral ""The mother tongue of Andreas Karkavitsas is""",Greek 100
Michel d'Ornano,mother-tongue,French,P37,The mother tongue of Michel d'Ornano is,The mother tongue of Michel d'Ornano is French,The mother tongue of Michel d'Ornano is Romanian,Romanian,"neutral ""The mother tongue of Michel d'Ornano is""",French 100
Lev Kulidzhanov,mother-tongue,Russian,P37,The mother tongue of Lev Kulidzhanov is,The mother tongue of Lev Kulidzhanov is Russian,The mother tongue of Lev Kulidzhanov is Italian,Italian,"neutral ""The mother tongue of Lev Kulidzhanov is""",Russian 90
Lappeenranta,the-official-language,Finnish,P37,The official language of Lappeenranta is,The official language of Lappeenranta is Finnish,The official language of Lappeenranta is French,French,"neutral ""The official language of Lappeenranta is""",Finnish 100
Pierre Bayle,mother-tongue,French,P37,The mother tongue of Pierre Bayle is,The mother tongue of Pierre Bayle is French,The mother tongue of Pierre Bayle is Czech,Czech,"neutral ""The mother tongue of Pierre Bayle is""",French 100
Jean-Luc Marion,mother-tongue,French,P37,The mother tongue of Jean-Luc Marion is,The mother tongue of Jean-Luc Marion is French,The mother tongue of Jean-Luc Marion is Russian,Russian,"neutral ""The mother tongue of Jean-Luc Marion is""",French 100
Catherine Deneuve,mother-tongue,French,P37,The mother tongue of Catherine Deneuve is,The mother tongue of Catherine Deneuve is French,The mother tongue of Catherine Deneuve is Turkish,Turkish,"neutral ""The mother tongue of Catherine Deneuve is""",French 100
Bali,the-official-language,Indonesian,P37,The official language of Bali is,The official language of Bali is Indonesian,The official language of Bali is Spanish,Spanish,"neutral ""The official language of Bali is""",Indonesian 100
Pascale Ogier,mother-tongue,French,P37,The mother tongue of Pascale Ogier is,The mother tongue of Pascale Ogier is French,The mother tongue of Pascale Ogier is Serbian,Serbian,"neutral ""The mother tongue of Pascale Ogier is""",French 100
Jean Lefebvre,mother-tongue,French,P37,The mother tongue of Jean Lefebvre is,The mother tongue of Jean Lefebvre is French,The mother tongue of Jean Lefebvre is German,German,"neutral ""The mother tongue of Jean Lefebvre is""",French 95
Raseborg,the-official-language,Swedish,P37,The official language of Raseborg is,The official language of Raseborg is Swedish,The official language of Raseborg is Vietnamese,Vietnamese,"neutral ""The official language of Raseborg is""",Swedish 90
Yverdon-les-Bains,the-official-language,French,P37,The official language of Yverdon-les-Bains is,The official language of Yverdon-les-Bains is French,The official language of Yverdon-les-Bains is Swedish,Swedish,"neutral ""The official language of Yverdon-les-Bains is""",French 100
Jean-Bernard Raimond,mother-tongue,French,P37,The mother tongue of Jean-Bernard Raimond is,The mother tongue of Jean-Bernard Raimond is French,The mother tongue of Jean-Bernard Raimond is Finnish,Finnish,"neutral ""The mother tongue of Jean-Bernard Raimond is""",French 100
Gustave de Beaumont,mother-tongue,French,P37,The mother tongue of Gustave de Beaumont is,The mother tongue of Gustave de Beaumont is French,The mother tongue of Gustave de Beaumont is Bulgarian,Bulgarian,"neutral ""The mother tongue of Gustave de Beaumont is""",French 100
Arvidsjaur Municipality,the-official-language,Swedish,P37,The official language of Arvidsjaur Municipality is,The official language of Arvidsjaur Municipality is Swedish,The official language of Arvidsjaur Municipality is Serbian,Serbian,"neutral ""The official language of Arvidsjaur Municipality is""",Swedish 100
Adolphe Pinard,mother-tongue,French,P37,The mother tongue of Adolphe Pinard is,The mother tongue of Adolphe Pinard is French,The mother tongue of Adolphe Pinard is Turkish,Turkish,"neutral ""The mother tongue of Adolphe Pinard is""",French 100
Xavier de Maistre,mother-tongue,French,P37,The mother tongue of Xavier de Maistre is,The mother tongue of Xavier de Maistre is French,The mother tongue of Xavier de Maistre is Portuguese,Portuguese,"neutral ""The mother tongue of Xavier de Maistre is""",French 100
Spanish Texas,the-official-language,Spanish,P37,The official language of Spanish Texas is,The official language of Spanish Texas is Spanish,The official language of Spanish Texas is Armenian,Armenian,"neutral ""The official language of Spanish Texas is""",Spanish 100
Namibia,the-official-language,English,P37,The official language of Namibia is,The official language of Namibia is English,The official language of Namibia is French,French,"neutral ""The official language of Namibia is""",English 100
